种类,岛屿,性别,体重,嘴喙长度,嘴喙深度,鳍足长度
阿德利企鹅,比斯科岛,雌性,3150.0,35.7,16.9,185.0
阿德利企鹅,比斯科岛,雄性,4400.0,41.3,21.1,195.0
阿德利企鹅,比斯科岛,雌性,3600.0,37.6,17.0,185.0
阿德利企鹅,比斯科岛,雄性,4050.0,41.1,18.2,192.0
阿德利企鹅,比斯科岛,雌性,2850.0,36.4,17.1,184.0
阿德利企鹅,比斯科岛,雄性,3950.0,41.6,18.0,192.0
阿德利企鹅,比斯科岛,雌性,3350.0,35.5,16.2,195.0
阿德利企鹅,比斯科岛,雄性,4100.0,41.1,19.1,188.0
阿德利企鹅,托格森岛,雌性,3050.0,35.9,16.6,190.0
阿德利企鹅,托格森岛,雄性,4450.0,41.8,19.4,198.0
阿德利企鹅,托格森岛,雌性,3600.0,33.5,19.0,190.0
阿德利企鹅,托格森岛,雄性,3900.0,39.7,18.4,190.0
阿德利企鹅,托格森岛,雌性,3550.0,39.6,17.2,196.0
阿德利企鹅,托格森岛,雄性,4150.0,45.8,18.9,197.0
阿德利企鹅,托格森岛,雌性,3700.0,35.5,17.5,190.0
阿德利企鹅,托格森岛,雄性,4250.0,42.8,18.5,195.0
阿德利企鹅,托格森岛,雌性,3700.0,40.9,16.8,191.0
阿德利企鹅,托格森岛,雄性,3900.0,37.2,19.4,184.0
阿德利企鹅,托格森岛,雌性,3550.0,36.2,16.1,187.0
阿德利企鹅,托格森岛,雄性,4000.0,42.1,19.1,195.0
阿德利企鹅,托格森岛,雌性,3200.0,34.6,17.2,189.0
阿德利企鹅,托格森岛,雄性,4700.0,42.9,17.6,196.0
阿德利企鹅,托格森岛,雌性,3800.0,36.7,18.8,187.0
阿德利企鹅,托格森岛,雄性,4200.0,35.1,19.4,193.0
阿德利企鹅,梦幻岛,雌性,3350.0,37.3,17.8,191.0
阿德利企鹅,梦幻岛,雄性,3550.0,41.3,20.3,194.0
阿德利企鹅,梦幻岛,雄性,3800.0,36.3,19.5,190.0
阿德利企鹅,梦幻岛,雌性,3500.0,36.9,18.6,189.0
阿德利企鹅,梦幻岛,雄性,3950.0,38.3,19.2,189.0
阿德利企鹅,梦幻岛,雌性,3600.0,38.9,18.8,190.0
阿德利企鹅,梦幻岛,雌性,3550.0,35.7,18.0,202.0
阿德利企鹅,梦幻岛,雄性,4300.0,41.1,18.1,205.0
阿德利企鹅,梦幻岛,雌性,3400.0,34.0,17.1,185.0
阿德利企鹅,梦幻岛,雄性,4450.0,39.6,18.1,186.0
阿德利企鹅,梦幻岛,雌性,3300.0,36.2,17.3,187.0
阿德利企鹅,梦幻岛,雄性,4300.0,40.8,18.9,208.0
阿德利企鹅,梦幻岛,雌性,3700.0,38.1,18.6,190.0
阿德利企鹅,梦幻岛,雄性,4350.0,40.3,18.5,196.0
阿德利企鹅,梦幻岛,雌性,2900.0,33.1,16.1,178.0
阿德利企鹅,梦幻岛,雄性,4100.0,43.2,18.5,192.0
阿德利企鹅,比斯科岛,雌性,3725.0,35.0,17.9,192.0
阿德利企鹅,比斯科岛,雄性,4725.0,41.0,20.0,203.0
阿德利企鹅,比斯科岛,雌性,3075.0,37.7,16.0,183.0
阿德利企鹅,比斯科岛,雄性,4250.0,37.8,20.0,190.0
阿德利企鹅,比斯科岛,雌性,2925.0,37.9,18.6,193.0
阿德利企鹅,比斯科岛,雄性,3550.0,39.7,18.9,184.0
阿德利企鹅,比斯科岛,雌性,3750.0,38.6,17.2,199.0
阿德利企鹅,比斯科岛,雄性,3900.0,38.2,20.0,190.0
阿德利企鹅,比斯科岛,雌性,3175.0,38.1,17.0,181.0
阿德利企鹅,比斯科岛,雄性,4775.0,43.2,19.0,197.0
阿德利企鹅,比斯科岛,雌性,3825.0,38.1,16.5,198.0
阿德利企鹅,比斯科岛,雄性,4600.0,45.6,20.3,191.0
阿德利企鹅,比斯科岛,雌性,3200.0,39.7,17.7,193.0
阿德利企鹅,比斯科岛,雄性,4275.0,42.2,19.5,197.0
阿德利企鹅,比斯科岛,雌性,3900.0,39.6,20.7,191.0
阿德利企鹅,比斯科岛,雄性,4075.0,42.7,18.3,196.0
阿德利企鹅,托格森岛,雌性,2900.0,38.6,17.0,188.0
阿德利企鹅,托格森岛,雄性,3775.0,37.3,20.5,199.0
阿德利企鹅,托格森岛,雌性,3350.0,35.7,17.0,189.0
阿德利企鹅,托格森岛,雄性,3325.0,41.1,18.6,189.0
阿德利企鹅,托格森岛,雌性,3150.0,36.2,17.2,187.0
阿德利企鹅,托格森岛,雄性,3500.0,37.7,19.8,198.0
阿德利企鹅,托格森岛,雌性,3450.0,40.2,17.0,176.0
阿德利企鹅,托格森岛,雄性,3875.0,41.4,18.5,202.0
阿德利企鹅,托格森岛,雌性,3050.0,35.2,15.9,186.0
阿德利企鹅,托格森岛,雄性,4000.0,40.6,19.0,199.0
阿德利企鹅,托格森岛,雌性,3275.0,38.8,17.6,191.0
阿德利企鹅,托格森岛,雄性,4300.0,41.5,18.3,195.0
阿德利企鹅,托格森岛,雌性,3050.0,39.0,17.1,191.0
阿德利企鹅,托格森岛,雄性,4000.0,44.1,18.0,210.0
阿德利企鹅,托格森岛,雌性,3325.0,38.5,17.9,190.0
阿德利企鹅,托格森岛,雄性,3500.0,43.1,19.2,197.0
阿德利企鹅,梦幻岛,雌性,3500.0,36.8,18.5,193.0
阿德利企鹅,梦幻岛,雄性,4475.0,37.5,18.5,199.0
阿德利企鹅,梦幻岛,雌性,3425.0,38.1,17.6,187.0
阿德利企鹅,梦幻岛,雄性,3900.0,41.1,17.5,190.0
阿德利企鹅,梦幻岛,雌性,3175.0,35.6,17.5,191.0
阿德利企鹅,梦幻岛,雄性,3975.0,40.2,20.1,200.0
阿德利企鹅,梦幻岛,雌性,3400.0,37.0,16.5,185.0
阿德利企鹅,梦幻岛,雄性,4250.0,39.7,17.9,193.0
阿德利企鹅,梦幻岛,雌性,3400.0,40.2,17.1,193.0
阿德利企鹅,梦幻岛,雄性,3475.0,40.6,17.2,187.0
阿德利企鹅,梦幻岛,雌性,3050.0,32.1,15.5,188.0
阿德利企鹅,梦幻岛,雄性,3725.0,40.7,17.0,190.0
阿德利企鹅,梦幻岛,雌性,3000.0,37.3,16.8,192.0
阿德利企鹅,梦幻岛,雄性,3650.0,39.0,18.7,185.0
阿德利企鹅,梦幻岛,雄性,4250.0,39.2,18.6,190.0
阿德利企鹅,梦幻岛,雌性,3475.0,36.6,18.4,184.0
阿德利企鹅,梦幻岛,雌性,3450.0,36.0,17.8,195.0
阿德利企鹅,梦幻岛,雄性,3750.0,37.8,18.1,193.0
阿德利企鹅,梦幻岛,雌性,3700.0,36.0,17.1,187.0
阿德利企鹅,梦幻岛,雄性,4000.0,41.5,18.5,201.0
帽带企鹅,梦幻岛,雌性,3500.0,46.5,17.9,192.0
帽带企鹅,梦幻岛,雄性,3900.0,50.0,19.5,196.0
帽带企鹅,梦幻岛,雄性,3650.0,51.3,19.2,193.0
帽带企鹅,梦幻岛,雌性,3525.0,45.4,18.7,188.0
帽带企鹅,梦幻岛,雄性,3725.0,52.7,19.8,197.0
帽带企鹅,梦幻岛,雌性,3950.0,45.2,17.8,198.0
帽带企鹅,梦幻岛,雌性,3250.0,46.1,18.2,178.0
帽带企鹅,梦幻岛,雄性,3750.0,51.3,18.2,197.0
帽带企鹅,梦幻岛,雌性,4150.0,46.0,18.9,195.0
帽带企鹅,梦幻岛,雄性,3700.0,51.3,19.9,198.0
帽带企鹅,梦幻岛,雌性,3800.0,46.6,17.8,193.0
帽带企鹅,梦幻岛,雄性,3775.0,51.7,20.3,194.0
帽带企鹅,梦幻岛,雌性,3700.0,47.0,17.3,185.0
帽带企鹅,梦幻岛,雄性,4050.0,52.0,18.1,201.0
帽带企鹅,梦幻岛,雌性,3575.0,45.9,17.1,190.0
帽带企鹅,梦幻岛,雄性,4050.0,50.5,19.6,201.0
帽带企鹅,梦幻岛,雄性,3300.0,50.3,20.0,197.0
帽带企鹅,梦幻岛,雌性,3700.0,58.0,17.8,181.0
帽带企鹅,梦幻岛,雌性,3450.0,46.4,18.6,190.0
帽带企鹅,梦幻岛,雄性,4400.0,49.2,18.2,195.0
帽带企鹅,梦幻岛,雌性,3600.0,42.4,17.3,181.0
帽带企鹅,梦幻岛,雄性,3400.0,48.5,17.5,191.0
帽带企鹅,梦幻岛,雌性,2900.0,43.2,16.6,187.0
帽带企鹅,梦幻岛,雄性,3800.0,50.6,19.4,193.0
帽带企鹅,梦幻岛,雌性,3300.0,46.7,17.9,195.0
帽带企鹅,梦幻岛,雄性,4150.0,52.0,19.0,197.0
帽带企鹅,梦幻岛,雌性,3400.0,50.5,18.4,200.0
帽带企鹅,梦幻岛,雄性,3800.0,49.5,19.0,200.0
帽带企鹅,梦幻岛,雌性,3700.0,46.4,17.8,191.0
帽带企鹅,梦幻岛,雄性,4550.0,52.8,20.0,205.0
帽带企鹅,梦幻岛,雌性,3200.0,40.9,16.6,187.0
帽带企鹅,梦幻岛,雄性,4300.0,54.2,20.8,201.0
帽带企鹅,梦幻岛,雌性,3350.0,42.5,16.7,187.0
帽带企鹅,梦幻岛,雄性,4100.0,51.0,18.8,203.0
帽带企鹅,梦幻岛,雄性,3600.0,49.7,18.6,195.0
帽带企鹅,梦幻岛,雌性,3900.0,47.5,16.8,199.0
帽带企鹅,梦幻岛,雌性,3850.0,47.6,18.3,195.0
帽带企鹅,梦幻岛,雄性,4800.0,52.0,20.7,210.0
帽带企鹅,梦幻岛,雌性,2700.0,46.9,16.6,192.0
帽带企鹅,梦幻岛,雄性,4500.0,53.5,19.9,205.0
帽带企鹅,梦幻岛,雄性,3950.0,49.0,19.5,210.0
帽带企鹅,梦幻岛,雌性,3650.0,46.2,17.5,187.0
帽带企鹅,梦幻岛,雄性,3550.0,50.9,19.1,196.0
帽带企鹅,梦幻岛,雌性,3500.0,45.5,17.0,196.0
帽带企鹅,梦幻岛,雌性,3675.0,50.9,17.9,196.0
帽带企鹅,梦幻岛,雄性,4450.0,50.8,18.5,201.0
帽带企鹅,梦幻岛,雌性,3400.0,50.1,17.9,190.0
帽带企鹅,梦幻岛,雄性,4300.0,49.0,19.6,212.0
帽带企鹅,梦幻岛,雄性,3250.0,51.5,18.7,187.0
帽带企鹅,梦幻岛,雌性,3675.0,49.8,17.3,198.0
帽带企鹅,梦幻岛,雌性,3325.0,48.1,16.4,199.0
帽带企鹅,梦幻岛,雄性,3950.0,51.4,19.0,201.0
帽带企鹅,梦幻岛,雌性,3600.0,45.7,17.3,193.0
帽带企鹅,梦幻岛,雄性,4050.0,50.7,19.7,203.0
帽带企鹅,梦幻岛,雌性,3350.0,42.5,17.3,187.0
帽带企鹅,梦幻岛,雄性,3450.0,52.2,18.8,197.0
帽带企鹅,梦幻岛,雌性,3250.0,45.2,16.6,191.0
帽带企鹅,梦幻岛,雄性,4050.0,49.3,19.9,203.0
帽带企鹅,梦幻岛,雄性,3800.0,50.2,18.8,202.0
帽带企鹅,梦幻岛,雌性,3525.0,45.6,19.4,194.0
帽带企鹅,梦幻岛,雄性,3950.0,51.9,19.5,206.0
帽带企鹅,梦幻岛,雌性,3650.0,46.8,16.5,189.0
帽带企鹅,梦幻岛,雌性,3650.0,45.7,17.0,195.0
帽带企鹅,梦幻岛,雄性,4000.0,55.8,19.8,207.0
帽带企鹅,梦幻岛,雌性,3400.0,43.5,18.1,202.0
帽带企鹅,梦幻岛,雄性,3775.0,49.6,18.2,193.0
帽带企鹅,梦幻岛,雄性,4100.0,50.8,19.0,210.0
帽带企鹅,梦幻岛,雌性,3775.0,50.2,18.7,198.0
巴布亚企鹅,比斯科岛,雌性,4500.0,46.1,13.2,211.0
巴布亚企鹅,比斯科岛,雄性,5700.0,50.0,16.3,230.0
巴布亚企鹅,比斯科岛,雌性,4450.0,48.7,14.1,210.0
巴布亚企鹅,比斯科岛,雄性,5700.0,50.0,15.2,218.0
巴布亚企鹅,比斯科岛,雄性,5400.0,47.6,14.5,215.0
巴布亚企鹅,比斯科岛,雌性,4550.0,46.5,13.5,210.0
巴布亚企鹅,比斯科岛,雌性,4800.0,45.4,14.6,211.0
巴布亚企鹅,比斯科岛,雄性,5200.0,46.7,15.3,219.0
巴布亚企鹅,比斯科岛,雌性,4400.0,43.3,13.4,209.0
巴布亚企鹅,比斯科岛,雄性,5150.0,46.8,15.4,215.0
巴布亚企鹅,比斯科岛,雌性,4650.0,40.9,13.7,214.0
巴布亚企鹅,比斯科岛,雄性,5550.0,49.0,16.1,216.0
巴布亚企鹅,比斯科岛,雌性,4650.0,45.5,13.7,214.0
巴布亚企鹅,比斯科岛,雄性,5850.0,48.4,14.6,213.0
巴布亚企鹅,比斯科岛,雌性,4200.0,45.8,14.6,210.0
巴布亚企鹅,比斯科岛,雄性,5850.0,49.3,15.7,217.0
巴布亚企鹅,比斯科岛,雌性,4150.0,42.0,13.5,210.0
巴布亚企鹅,比斯科岛,雄性,6300.0,49.2,15.2,221.0
巴布亚企鹅,比斯科岛,雌性,4800.0,46.2,14.5,209.0
巴布亚企鹅,比斯科岛,雄性,5350.0,48.7,15.1,222.0
巴布亚企鹅,比斯科岛,雄性,5700.0,50.2,14.3,218.0
巴布亚企鹅,比斯科岛,雌性,5000.0,45.1,14.5,215.0
巴布亚企鹅,比斯科岛,雌性,4400.0,46.5,14.5,213.0
巴布亚企鹅,比斯科岛,雄性,5050.0,46.3,15.8,215.0
巴布亚企鹅,比斯科岛,雌性,5000.0,42.9,13.1,215.0
巴布亚企鹅,比斯科岛,雄性,5100.0,46.1,15.1,215.0
巴布亚企鹅,比斯科岛,,4100.0,44.5,14.3,216.0
巴布亚企鹅,比斯科岛,雄性,5650.0,47.8,15.0,215.0
巴布亚企鹅,比斯科岛,雌性,4600.0,48.2,14.3,210.0
巴布亚企鹅,比斯科岛,雄性,5550.0,50.0,15.3,220.0
巴布亚企鹅,比斯科岛,雄性,5250.0,47.3,15.3,222.0
巴布亚企鹅,比斯科岛,雌性,4700.0,42.8,14.2,209.0
巴布亚企鹅,比斯科岛,雌性,5050.0,45.1,14.5,207.0
巴布亚企鹅,比斯科岛,雄性,6050.0,59.6,17.0,230.0
巴布亚企鹅,比斯科岛,雌性,5150.0,49.1,14.8,220.0
巴布亚企鹅,比斯科岛,雄性,5400.0,48.4,16.3,220.0
巴布亚企鹅,比斯科岛,雌性,4950.0,42.6,13.7,213.0
巴布亚企鹅,比斯科岛,雄性,5250.0,44.4,17.3,219.0
巴布亚企鹅,比斯科岛,雌性,4350.0,44.0,13.6,208.0
巴布亚企鹅,比斯科岛,雄性,5350.0,48.7,15.7,208.0
巴布亚企鹅,比斯科岛,雌性,3950.0,42.7,13.7,208.0
巴布亚企鹅,比斯科岛,雄性,5700.0,49.6,16.0,225.0
巴布亚企鹅,比斯科岛,雌性,4300.0,45.3,13.7,210.0
巴布亚企鹅,比斯科岛,雄性,4750.0,49.6,15.0,216.0
巴布亚企鹅,比斯科岛,雄性,5550.0,50.5,15.9,222.0
巴布亚企鹅,比斯科岛,雌性,4900.0,43.6,13.9,217.0
巴布亚企鹅,比斯科岛,雌性,4200.0,45.5,13.9,210.0
巴布亚企鹅,比斯科岛,雄性,5400.0,50.5,15.9,225.0
巴布亚企鹅,比斯科岛,雌性,5100.0,44.9,13.3,213.0
巴布亚企鹅,比斯科岛,雄性,5300.0,45.2,15.8,215.0
巴布亚企鹅,比斯科岛,雌性,4850.0,46.6,14.2,210.0
巴布亚企鹅,比斯科岛,雄性,5300.0,48.5,14.1,220.0
巴布亚企鹅,比斯科岛,雌性,4400.0,45.1,14.4,210.0
巴布亚企鹅,比斯科岛,雄性,5000.0,50.1,15.0,225.0
巴布亚企鹅,比斯科岛,雌性,4900.0,46.5,14.4,217.0
巴布亚企鹅,比斯科岛,雄性,5050.0,45.0,15.4,220.0
巴布亚企鹅,比斯科岛,雌性,4300.0,43.8,13.9,208.0
巴布亚企鹅,比斯科岛,雄性,5000.0,45.5,15.0,220.0
巴布亚企鹅,比斯科岛,雌性,4450.0,43.2,14.5,208.0
巴布亚企鹅,比斯科岛,雄性,5550.0,50.4,15.3,224.0
巴布亚企鹅,比斯科岛,雌性,4200.0,45.3,13.8,208.0
巴布亚企鹅,比斯科岛,雄性,5300.0,46.2,14.9,221.0
巴布亚企鹅,比斯科岛,雌性,4400.0,45.7,13.9,214.0
巴布亚企鹅,比斯科岛,雄性,5650.0,54.3,15.7,231.0
巴布亚企鹅,比斯科岛,雌性,4700.0,45.8,14.2,219.0
巴布亚企鹅,比斯科岛,雄性,5700.0,49.8,16.8,230.0
巴布亚企鹅,比斯科岛,,4650.0,46.2,14.4,214.0
巴布亚企鹅,比斯科岛,雄性,5800.0,49.5,16.2,229.0
巴布亚企鹅,比斯科岛,雌性,4700.0,43.5,14.2,220.0
巴布亚企鹅,比斯科岛,雄性,5550.0,50.7,15.0,223.0
巴布亚企鹅,比斯科岛,雌性,4750.0,47.7,15.0,216.0
巴布亚企鹅,比斯科岛,雄性,5000.0,46.4,15.6,221.0
巴布亚企鹅,比斯科岛,雄性,5100.0,48.2,15.6,221.0
巴布亚企鹅,比斯科岛,雌性,5200.0,46.5,14.8,217.0
巴布亚企鹅,比斯科岛,雌性,4700.0,46.4,15.0,216.0
巴布亚企鹅,比斯科岛,雄性,5800.0,48.6,16.0,230.0
巴布亚企鹅,比斯科岛,雌性,4600.0,47.5,14.2,209.0
巴布亚企鹅,比斯科岛,雄性,6000.0,51.1,16.3,220.0
巴布亚企鹅,比斯科岛,雌性,4750.0,45.2,13.8,215.0
巴布亚企鹅,比斯科岛,雄性,5950.0,45.2,16.4,223.0
巴布亚企鹅,比斯科岛,雌性,4625.0,49.1,14.5,212.0
巴布亚企鹅,比斯科岛,雄性,5450.0,52.5,15.6,221.0
巴布亚企鹅,比斯科岛,雌性,4725.0,47.4,14.6,212.0
巴布亚企鹅,比斯科岛,雄性,5350.0,50.0,15.9,224.0
巴布亚企鹅,比斯科岛,雌性,4750.0,44.9,13.8,212.0
巴布亚企鹅,比斯科岛,雄性,5600.0,50.8,17.3,228.0
巴布亚企鹅,比斯科岛,雌性,4600.0,43.4,14.4,218.0
巴布亚企鹅,比斯科岛,雄性,5300.0,51.3,14.2,218.0
巴布亚企鹅,比斯科岛,雌性,4875.0,47.5,14.0,212.0
巴布亚企鹅,比斯科岛,雄性,5550.0,52.1,17.0,230.0
巴布亚企鹅,比斯科岛,雌性,4950.0,47.5,15.0,218.0
巴布亚企鹅,比斯科岛,雄性,5400.0,52.2,17.1,228.0
巴布亚企鹅,比斯科岛,雌性,4750.0,45.5,14.5,212.0
巴布亚企鹅,比斯科岛,雄性,5650.0,49.5,16.1,224.0
巴布亚企鹅,比斯科岛,雌性,4850.0,44.5,14.7,214.0
巴布亚企鹅,比斯科岛,雄性,5200.0,50.8,15.7,226.0
巴布亚企鹅,比斯科岛,雄性,4925.0,49.4,15.8,216.0
巴布亚企鹅,比斯科岛,雌性,4875.0,46.9,14.6,222.0
巴布亚企鹅,比斯科岛,雌性,4625.0,48.4,14.4,203.0
巴布亚企鹅,比斯科岛,雄性,5250.0,51.1,16.5,225.0
巴布亚企鹅,比斯科岛,雌性,4850.0,48.5,15.0,219.0
巴布亚企鹅,比斯科岛,雄性,5600.0,55.9,17.0,228.0
巴布亚企鹅,比斯科岛,雌性,4975.0,47.2,15.5,215.0
巴布亚企鹅,比斯科岛,雄性,5500.0,49.1,15.0,228.0
巴布亚企鹅,比斯科岛,,4725.0,47.3,13.8,216.0
巴布亚企鹅,比斯科岛,雄性,5500.0,46.8,16.1,215.0
巴布亚企鹅,比斯科岛,雌性,4700.0,41.7,14.7,210.0
巴布亚企鹅,比斯科岛,雄性,5500.0,53.4,15.8,219.0
巴布亚企鹅,比斯科岛,雌性,4575.0,43.3,14.0,208.0
巴布亚企鹅,比斯科岛,雄性,5500.0,48.1,15.1,209.0
巴布亚企鹅,比斯科岛,雌性,5000.0,50.5,15.2,216.0
巴布亚企鹅,比斯科岛,雄性,5950.0,49.8,15.9,229.0
巴布亚企鹅,比斯科岛,雌性,4650.0,43.5,15.2,213.0
巴布亚企鹅,比斯科岛,雄性,5500.0,51.5,16.3,230.0
巴布亚企鹅,比斯科岛,雌性,4375.0,46.2,14.1,217.0
巴布亚企鹅,比斯科岛,雄性,5850.0,55.1,16.0,230.0
巴布亚企鹅,比斯科岛,,4875.0,44.5,15.7,217.0
巴布亚企鹅,比斯科岛,雄性,6000.0,48.8,16.2,222.0
巴布亚企鹅,比斯科岛,雌性,4925.0,47.2,13.7,214.0
巴布亚企鹅,比斯科岛,,,,,
巴布亚企鹅,比斯科岛,雌性,4850.0,46.8,14.3,215.0
巴布亚企鹅,比斯科岛,雄性,5750.0,50.4,15.7,222.0
巴布亚企鹅,比斯科岛,雌性,5200.0,45.2,14.8,212.0
巴布亚企鹅,比斯科岛,雄性,5400.0,49.9,16.1,213.0
