customer_id,flight_date,flight_number,origin,destination,fare,cabin_class,distance_miles
C_0159,2022-10-13,AA599,ATL,JFK,1595,Business,4478
C_0183,2022-11-27,AA816,DFW,ATL,1153,Economy,4145
C_0436,2022-05-08,AA436,ORD,JFK,695,Economy,2646
C_0202,2022-12-14,AA580,ORD,SFO,1505,Business,1156
C_0066,2022-08-19,AA996,DEN,CLT,1276,First,2902
C_0046,2022-07-09,AA372,ORD,DEN,165,Business,636
C_0364,2022-08-13,AA157,JFK,DEN,1012,Economy,2565
C_0260,2022-10-10,AA427,DFW,ORD,1293,Economy,4901
C_0406,2022-05-01,AA830,SFO,SFO,1326,Economy,696
C_0429,2022-04-26,AA208,SFO,JFK,1242,Economy,1566
C_0244,2022-08-21,AA378,CLT,DFW,896,Economy,3065
C_0156,2022-09-16,AA785,LAX,ATL,365,Economy,2051
C_0394,2022-12-25,AA427,ORD,SFO,1790,Business,1222
C_0450,2022-07-17,AA875,DEN,JFK,859,Economy,3330
C_0249,2022-05-17,AA414,DEN,DEN,421,Economy,3044
C_0433,2022-11-14,AA573,ORD,DEN,809,Economy,1689
C_0095,2022-06-14,AA210,JFK,ATL,926,Economy,2534
C_0255,2022-08-13,AA798,DEN,DFW,1026,First,4632
C_0362,2022-11-03,AA880,SFO,JFK,1656,Economy,3589
C_0471,2022-08-22,AA328,LAX,JFK,205,Economy,402
C_0336,2022-06-21,AA596,DFW,DFW,663,Economy,430
C_0201,2022-06-01,AA255,ATL,DFW,,Economy,3834
C_0307,2022-11-11,AA572,JFK,DFW,557,Economy,3328
C_0427,2022-06-09,AA800,CLT,DEN,514,Business,2891
C_0134,2022-04-06,AA371,CLT,ATL,832,Economy,3691
C_0377,2022-08-21,AA986,DEN,SFO,853,Economy,3162
C_0153,2022-06-29,AA101,DFW,CLT,269,Economy,2527
C_0255,2022-04-23,AA857,ATL,DFW,64,Business,4761
C_0260,2022-11-14,AA821,CLT,ATL,1823,Business,2984
C_0240,2022-02-21,AA610,ORD,ORD,166,Economy,1003
C_0460,2022-09-25,AA385,ORD,JFK,380,Economy,4561
C_0152,2022-10-22,AA970,LAX,JFK,105,Business,3923
C_0440,2022-04-23,AA112,ATL,CLT,1424,Business,3101
C_0091,2022-04-11,AA707,ORD,CLT,1205,Business,375
C_0240,2022-04-23,AA597,CLT,LAX,1299,Business,1644
C_0183,2022-03-22,AA832,ORD,ORD,357,Economy,4203
C_0310,2022-07-06,AA337,SFO,SFO,1548,Economy,3732
C_0259,2022-04-23,AA193,DEN,CLT,1979,Business,4549
C_0460,2022-01-02,AA437,CLT,DFW,271,First,1743
C_0431,2022-05-10,AA880,CLT,DFW,1246,Economy,2354
C_0500,2022-08-08,AA270,CLT,SFO,1413,Economy,2305
C_0286,2022-02-23,AA705,LAX,DEN,846,First,3613
C_0076,2022-12-09,AA760,DFW,ORD,1579,Economy,3561
C_0297,2022-08-12,AA723,CLT,DFW,1894,Business,4379
C_0362,2022-08-13,AA666,ORD,CLT,1230,Economy,1340
C_0183,2022-05-06,AA948,SFO,LAX,200,Economy,1961
C_0059,2022-05-10,AA566,CLT,ATL,1770,Economy,2140
C_0040,2022-02-22,AA727,JFK,JFK,1251,Economy,2006
C_0045,2022-06-21,AA242,JFK,ORD,1606,Economy,3373
C_0406,2022-08-06,AA300,DFW,JFK,161,Economy,856
C_0015,2022-06-09,AA279,ATL,ATL,732,Business,2703
C_0220,2022-07-17,AA813,LAX,ORD,1211,First,858
C_0273,2022-09-04,AA463,SFO,CLT,1306,Economy,3038
C_0187,2022-11-20,AA578,DEN,ATL,381,Economy,4436
C_0364,2022-07-22,AA664,SFO,DFW,1615,Economy,-100
C_0496,2022-07-03,AA570,JFK,SFO,942,Economy,1254
C_0025,2022-05-03,AA483,JFK,DFW,1380,,3241
C_0299,2022-09-12,AA791,DFW,CLT,210,Economy,4203
C_0192,2022-10-21,AA516,ATL,SFO,1475,Economy,2538
C_0179,2022-10-07,AA924,ATL,DFW,1663,Economy,310
C_0061,2022-11-21,AA407,DFW,ATL,327,Economy,1918
C_0429,2022-04-08,AA748,CLT,ATL,1393,Business,4491
C_0131,2022-07-17,AA793,SFO,ATL,1606,Economy,325
C_0249,2022-08-28,AA466,JFK,JFK,946,Business,461
C_0164,2022-05-24,AA100,SFO,CLT,546,First,3134
C_0479,2022-04-07,AA143,SFO,ATL,1436,First,2402
C_0207,2022-07-20,AA838,LAX,DFW,USD 1466,First,1804
C_0238,2022-05-04,AA942,JFK,LAX,1965,Economy,4403
C_0192,2022-07-06,AA197,ATL,CLT,704,Economy,2282
C_0028,2022-11-22,AA819,DEN,ATL,1109,Economy,4142
C_0107,2022-12-15,AA364,SFO,LAX,352,Business,854
C_0223,2022-09-16,AA899,JFK,SFO,487,Business,2663
C_0380,2022-05-28,AA882,SFO,DFW,775,,484
C_0429,2022-09-09,AA239,LAX,ATL,1105,Economy,2765
C_0084,2022-12-12,AA580,CLT,JFK,235,Business,4001
C_0498,2022-05-27,AA336,ORD,JFK,1247,Economy,226
C_0237,2022-05-28,AA171,JFK,SFO,1639,Economy,2474
C_0149,2022-12-18,AA766,DFW,LAX,722,Business,4067
C_0283,2022-07-18,AA289,ORD,DEN,1323,Economy,4172
C_0339,2022-11-04,AA367,SFO,JFK,1050,First,1791
C_0100,2022-05-08,AA420,DFW,CLT,1836,Economy,3581
C_0332,2022-02-08,AA206,DFW,JFK,328,Business,1328
C_0035,2022-12-04,AA331,DFW,JFK,732,Economy,4313
C_0432,2022-12-26,AA141,JFK,DFW,1768,Business,-100
C_0097,2022-05-09,AA801,ATL,JFK,1075,Business,356
C_0356,2022-09-24,AA982,SFO,ORD,1267,First,1489
C_0233,2022-05-31,AA238,ORD,ATL,1239,Economy,2381
C_0407,2022-10-25,AA714,LAX,SFO,1832,First,2711
C_0448,2022-04-09,AA782,ATL,JFK,1060,Economy,1971
C_0013,2022-09-20,AA962,SFO,DEN,974,Economy,1355
C_0246,2022-09-09,AA372,CLT,CLT,1829,Economy,2988
C_0414,2022-05-24,AA580,CLT,DEN,1183,Business,3176
C_0458,2022-12-12,AA515,JFK,JFK,429,Economy,3699
C_0489,2022-04-22,AA605,DFW,JFK,884,Business,3113
C_0404,2022-03-01,AA832,LAX,ORD,1048,Business,403
C_0262,2022-01-02,AA824,SFO,JFK,1656,Economy,2022
C_0223,2022-10-31,AA952,ORD,JFK,1749,First,1559
C_0403,2022-09-11,AA523,SFO,ATL,334,Economy,2744
C_0451,2022-05-20,AA506,ATL,DEN,1960,Business,641
C_0074,2022-02-06,AA667,CLT,ORD,,Economy,1515
C_0266,2022-06-09,AA489,DEN,DEN,162,Economy,4237
C_0184,2022-01-09,AA441,ATL,ORD,1067,Economy,1348
C_0277,2022-08-21,AA713,SFO,DEN,277,Economy,1398
C_0383,2022-04-09,AA592,LAX,JFK,1544,Economy,3116
C_0056,2022-05-27,AA291,SFO,DEN,USD 1756,Economy,4085
C_0057,2022-10-31,AA598,SFO,DEN,577,,-100
C_0386,2022-07-27,AA921,JFK,ORD,545,Economy,3059
C_0493,2022-05-11,AA811,ORD,SFO,80,Economy,3162
C_0295,2022-06-01,AA332,LAX,LAX,211,Business,1567
C_0061,2022-02-23,AA326,SFO,ORD,1891,Economy,4865
C_0173,2022-04-30,AA470,DFW,ORD,754,Business,3109
C_0478,2022-06-10,AA238,ORD,ORD,771,Economy,2416
C_0110,2022-04-26,AA955,ATL,DFW,1451,Economy,3605
C_0412,2022-03-16,AA916,LAX,SFO,495,Economy,3259
C_0146,2022-04-23,AA248,ATL,DFW,793,Economy,2483
C_0014,2022-04-14,AA214,CLT,DFW,476,Economy,4694
C_0183,2022-12-06,AA549,SFO,ORD,1769,Economy,1020
C_0315,2022-09-11,AA162,ATL,LAX,553,Business,3260
C_0365,2022-08-15,AA203,ATL,ORD,1600,Business,2724
C_0147,2022-04-22,AA950,JFK,JFK,1890,Economy,2832
C_0232,2022-04-09,AA970,ATL,LAX,770,Business,2862
C_0484,2022-06-02,AA767,DFW,DFW,733,Economy,3025
C_0297,2022-12-15,AA372,DFW,CLT,1851,Economy,4653
C_0140,2022-12-04,AA105,ORD,DEN,1605,Economy,3329
C_0148,2022-07-13,AA246,SFO,DEN,631,Business,4214
C_0418,2022-11-06,AA283,DEN,SFO,1593,Business,4816
C_0381,2022-06-12,AA127,CLT,CLT,1107,Business,4688
C_0036,2022-07-27,AA649,ATL,ATL,785,Economy,1866
C_0277,2022-06-18,AA218,ATL,SFO,740,Economy,3600
C_0056,2022-06-10,AA392,LAX,LAX,807,Business,3782
C_0467,2022-03-09,AA470,JFK,DFW,1563,Economy,2400
C_0041,2022-10-16,AA343,DEN,LAX,1845,Economy,1092
C_0383,2022-10-04,AA679,ORD,LAX,1693,Economy,4150
C_0169,2022-10-31,AA825,CLT,DEN,803,Economy,1183
C_0171,2022-05-15,AA317,DEN,ORD,1496,Economy,782
C_0106,2022-07-14,AA276,ATL,JFK,1541,Economy,4315
C_0227,2022-05-08,AA398,LAX,ATL,73,,2840
C_0456,2022-02-02,AA775,SFO,DFW,1289,Economy,2173
C_0086,2022-06-25,AA157,JFK,LAX,104,Economy,3617
C_0491,2022-01-22,AA368,SFO,ATL,1099,Economy,4314
C_0294,2022-08-26,AA407,ORD,LAX,1354,Economy,2615
C_0146,2022-06-07,AA669,DEN,CLT,853,Economy,1088
C_0264,2022-02-07,AA387,ORD,DEN,376,Economy,2083
C_0247,2022-08-18,AA204,ATL,JFK,1019,Economy,4022
C_0450,2022-12-31,AA327,ORD,DEN,235,Business,346
C_0148,2022-02-20,AA346,SFO,ATL,544,Business,1916
C_0453,2022-09-21,AA799,LAX,DFW,1085,Economy,2677
C_0441,2022-10-10,AA593,ORD,LAX,1714,Economy,1663
C_0362,2022-01-27,AA182,DFW,JFK,1957,Business,2445
C_0222,2022-08-14,AA285,LAX,CLT,483,Economy,1510
C_0146,2022-10-04,AA351,DEN,DEN,1994,Economy,4860
C_0108,2022-10-13,AA454,JFK,CLT,257,Economy,568
C_0444,2022-04-07,AA849,JFK,ATL,182,Economy,1463
C_0215,2022-10-11,AA971,ATL,DEN,1412,Economy,3049
C_0245,2022-11-13,AA795,ATL,LAX,1269,First,2947
C_0130,2022-10-31,AA895,DFW,LAX,1335,Business,2765
C_0426,2022-05-27,AA996,DEN,CLT,1355,Economy,2018
C_0064,2022-01-04,AA309,SFO,DFW,418,Economy,2087
C_0300,2022-02-04,AA915,JFK,JFK,1176,Economy,3983
C_0435,2022-07-11,AA907,JFK,ORD,1705,Economy,259
C_0357,2022-02-18,AA708,JFK,DEN,1256,Economy,744
C_0362,2022-01-17,AA546,SFO,LAX,472,Economy,3264
C_0224,2022-06-21,AA559,JFK,ATL,1082,Economy,1430
C_0065,2022-08-08,AA571,ORD,DEN,1630,Economy,758
C_0487,2022-06-07,AA819,DEN,DFW,293,Economy,1712
C_0065,2022-02-15,AA469,LAX,DFW,,First,869
C_0374,2022-01-06,AA591,LAX,LAX,673,Economy,457
C_0380,2022-04-09,AA236,DFW,LAX,USD 960,First,1270
C_0182,2022-08-21,AA466,ORD,CLT,1466,Economy,1250
C_0497,2022-02-06,AA283,JFK,LAX,576,Economy,4238
C_0108,2022-10-07,AA687,JFK,CLT,86,Economy,4222
C_0351,2022-12-15,AA386,ATL,SFO,227,Economy,344
C_0423,2022-10-29,AA571,ATL,ORD,688,Economy,2834
C_0392,2022-06-30,AA474,DFW,LAX,1702,First,2769
C_0323,2022-04-05,AA753,JFK,DEN,901,First,1000
C_0111,2022-04-09,AA848,DFW,DEN,121,Economy,1685
C_0076,2022-07-07,AA636,ORD,CLT,401,Economy,3948
C_0250,2022-04-26,AA610,LAX,SFO,672,Economy,2629
C_0241,2022-07-10,AA901,JFK,SFO,1222,Economy,3023
C_0226,2022-09-10,AA678,DEN,JFK,1770,Economy,872
C_0305,2022-06-10,AA349,SFO,ATL,154,Economy,4174
C_0473,2022-09-13,AA609,ORD,LAX,1732,Economy,3689
C_0164,2022-11-19,AA729,JFK,CLT,270,Economy,4622
C_0263,2022-05-08,AA172,SFO,DEN,1899,Economy,1614
C_0015,2022-01-18,AA381,DEN,SFO,912,Economy,3568
C_0341,2022-10-08,AA459,ATL,DEN,1447,Economy,4925
C_0153,2022-08-11,AA109,DFW,DEN,567,First,4094
C_0496,2022-02-23,AA310,ATL,SFO,1333,Economy,4046
C_0441,2022-02-27,AA934,LAX,ORD,348,Business,2228
C_0038,2022-11-19,AA251,ATL,SFO,910,Business,1394
C_0037,2022-12-26,AA104,JFK,SFO,91,First,2224
C_0122,2022-06-23,AA294,DEN,ATL,820,Business,1557
C_0272,2022-10-07,AA382,ATL,CLT,946,Economy,3010
C_0257,2022-04-24,AA563,JFK,CLT,541,Business,768
C_0175,2022-10-15,AA212,LAX,SFO,1512,Economy,2145
C_0436,2022-12-08,AA370,SFO,DFW,1856,Economy,546
C_0293,2022-05-31,AA262,DEN,CLT,1120,First,607
C_0301,2022-05-07,AA559,ATL,CLT,134,Business,4428
C_0142,2022-06-04,AA204,DFW,CLT,1759,First,3953
C_0441,2022-09-30,AA792,DFW,SFO,1131,Business,813
C_0162,2022-04-14,AA655,DEN,DEN,1040,Business,305
C_0450,2022-10-26,AA381,DFW,LAX,760,Business,2418
C_0415,2022-09-03,AA786,ATL,DEN,258,Business,3999
C_0339,2022-06-25,AA261,ATL,ATL,1321,Economy,4557
C_0467,2022-02-08,AA450,DEN,DFW,1284,First,4113
C_0428,2022-06-19,AA533,ATL,SFO,88,Business,693
C_0023,2022-09-04,AA951,SFO,ORD,1325,Business,4068
C_0350,2022-01-26,AA239,JFK,JFK,1716,Economy,4585
C_0337,2022-12-21,AA570,LAX,SFO,975,Economy,3534
C_0066,2022-11-02,AA231,SFO,LAX,1876,Economy,4120
C_0395,2022-01-13,AA186,SFO,JFK,811,First,2068
C_0433,2022-11-12,AA787,DFW,ORD,1486,Economy,1638
C_0462,2022-11-09,AA282,JFK,ATL,995,Economy,1552
C_0489,2022-02-05,AA467,DEN,ATL,1519,Economy,244
C_0058,2022-06-22,AA228,CLT,ORD,101,Business,2580
C_0029,2022-01-20,AA345,DFW,DEN,423,Business,4760
C_0083,2022-11-17,AA700,JFK,ORD,1599,Business,399
C_0476,2022-09-21,AA677,ATL,CLT,980,Economy,4624
C_0435,2022-05-22,AA769,DEN,CLT,205,Economy,2487
C_0129,2022-05-23,AA998,CLT,SFO,1615,Economy,4997
C_0133,2022-04-02,AA477,DEN,LAX,1163,Economy,2830
C_0115,2022-12-20,AA248,CLT,CLT,1976,Business,2968
C_0034,2022-11-18,AA951,CLT,DFW,728,Economy,2607
C_0125,2022-10-15,AA532,DFW,SFO,400,Economy,3991
C_0078,2022-08-03,AA727,ATL,SFO,118,Economy,3493
C_0275,2022-12-08,AA825,DFW,SFO,1236,Economy,3046
C_0344,2022-02-20,AA568,CLT,JFK,1315,First,3511
C_0168,2022-06-02,AA545,CLT,JFK,1568,Economy,2751
C_0081,2022-07-05,AA580,ORD,ATL,1456,Business,1637
C_0450,2022-03-04,AA983,JFK,SFO,1125,,326
C_0095,2022-07-09,AA393,ORD,DEN,703,Economy,1820
C_0209,2022-05-05,AA864,JFK,CLT,112,Economy,3519
C_0448,2022-05-30,AA242,LAX,ATL,558,Economy,681
C_0072,2022-11-10,AA349,SFO,LAX,341,Business,4578
C_0494,2022-02-27,AA977,DEN,ORD,1164,Economy,2321
C_0145,2022-12-08,AA401,DFW,JFK,1737,Economy,3335
C_0038,2022-11-01,AA124,LAX,SFO,1497,Economy,3020
C_0474,2022-06-29,AA888,LAX,LAX,1742,Economy,2571
C_0171,2022-06-19,AA988,DEN,ATL,870,Business,438
C_0040,2022-11-22,AA989,DEN,ATL,1438,Economy,1620
C_0173,2022-09-28,AA169,JFK,JFK,199,Economy,540
C_0424,2022-02-23,AA724,ORD,ATL,1913,Business,3550
C_0199,2022-04-11,AA974,ATL,DEN,1344,Economy,3193
C_0376,2022-09-21,AA211,JFK,ATL,930,Economy,1686
C_0344,2022-02-22,AA463,ATL,DFW,1654,Economy,4757
C_0222,2022-03-01,AA402,LAX,CLT,1189,Economy,4275
C_0090,2022-04-18,AA570,ATL,ORD,753,Business,932
C_0286,2022-01-05,AA190,ORD,ATL,565,Economy,3678
C_0163,2022-04-13,AA629,JFK,CLT,1660,First,361
C_0450,2022-07-15,AA760,CLT,CLT,1987,Economy,2695
C_0428,2022-09-19,AA838,DEN,DFW,1883,First,331
C_0388,2022-12-31,AA825,CLT,LAX,1314,Economy,2057
C_0448,2022-12-16,AA971,ORD,ATL,79,Economy,1442
C_0133,2022-02-16,AA762,SFO,DEN,1216,Economy,3688
C_0432,2022-12-21,AA291,ORD,LAX,375,Economy,871
