transaction_date,customer_name,amount,order_status,payment_method
2023-03-04,,,pending,paypal
2023-02-05,,,pending,paypal
2023-04-05,Customer 28,,failed,debit_card
2023-03-09,Customer 10,993.1865709570902,completed,debit_card
2023-03-24,Customer 29,,completed,debit_card
2023-02-16,,185.01212273544508,pending,debit_card
2023-04-10,,,completed,credit_card
,Customer 42,954.3677259716515,failed,debit_card
2023-03-23,Customer 1,943.0718264105097,pending,
,Customer 23,,pending,
,,,failed,paypal
,Customer 43,,completed,paypal
2023-02-11,Customer 37,,completed,debit_card
2023-02-28,,207.79421418780055,pending,paypal
2023-03-07,,499.4908081072286,pending,
2023-02-06,Customer 4,452.5968873105619,failed,
2023-01-11,Customer 9,578.6642593645236,completed,debit_card
2023-03-28,Customer 28,,completed,debit_card
2023-02-13,,,completed,debit_card
2023-01-12,Customer 47,712.2431359414267,failed,paypal
,,,failed,debit_card
,Customer 33,188.63020302757377,pending,credit_card
2023-03-22,,182.8248270507615,pending,debit_card
2023-02-02,Customer 9,150.36924551450306,pending,paypal
2023-02-24,,,pending,credit_card
2023-01-01,Customer 24,313.4559642748403,completed,paypal
2023-02-08,Customer 14,855.561670137697,completed,
2023-01-20,Customer 18,,completed,paypal
2023-02-16,Customer 1,,completed,
2023-02-12,Customer 12,684.848776171108,failed,
2023-02-26,Customer 29,590.1317896451569,failed,paypal
2023-03-02,Customer 37,,completed,debit_card
2023-03-19,Customer 26,622.1365446438795,pending,debit_card
,Customer 33,793.9801433529682,completed,paypal
2023-01-25,,438.60391684496847,pending,credit_card
2023-01-03,Customer 15,541.9222668106545,failed,paypal
2023-01-04,Customer 23,983.4757123636621,failed,
,Customer 29,320.18627283595936,pending,debit_card
2023-04-09,Customer 21,,completed,debit_card
2023-01-14,Customer 19,,completed,debit_card
2023-02-10,Customer 5,379.06087597205476,pending,debit_card
2023-03-14,Customer 23,848.3674598849235,completed,
2023-01-20,,,completed,credit_card
2023-04-06,,676.0217397694945,failed,
2023-03-14,Customer 8,431.29216178338066,pending,credit_card
2023-01-27,Customer 9,381.47796619617185,completed,
2023-03-08,,821.652535047819,failed,debit_card
,,163.4024673497435,completed,
2023-03-09,Customer 1,715.2156643290378,completed,debit_card
,Customer 9,442.65632049334687,pending,
,Customer 16,670.5378606861323,completed,paypal
2023-04-07,Customer 16,,failed,paypal
2023-01-05,,,completed,paypal
2023-03-09,Customer 5,547.9101806820856,pending,debit_card
2023-01-12,Customer 40,485.0509409483251,completed,credit_card
2023-03-28,,,completed,debit_card
2023-03-19,Customer 46,764.4039226574539,pending,debit_card
,Customer 27,,completed,
2023-02-26,Customer 11,,completed,
,,426.8451320564018,pending,credit_card
2023-01-25,Customer 28,457.7801424369706,completed,credit_card
,Customer 36,764.8143932921014,failed,debit_card
2023-01-22,,,completed,
2023-01-26,Customer 19,943.5559275259809,completed,debit_card
2023-03-22,Customer 35,331.510136924254,pending,
2023-03-02,,,pending,
2023-03-03,Customer 44,727.4274551455193,pending,
2023-03-25,,907.3630941428291,pending,credit_card
,Customer 46,208.9538916409769,completed,
,,,failed,
2023-03-12,Customer 2,305.4372489103342,failed,paypal
2023-03-27,Customer 7,540.5583959509235,failed,credit_card
