user_id,registration_date,campaign_join_date,age,gender,device,total_spent,purchases,has_coupon,churn
user_0042,06/16/2022,08/10/2022,32.0,Female,Desktop,429.658568723942,7.0,False,False
user_0043,2020-04-01,,35.0,nan,Mobile,462.78180434351214,9.0,False,False
user_0044,08/13/2022,2023-03-29,64.0,Male,Desktop,469.51430367073243,1.0,True,False
user_0045,05/23/2021,03/30/2022,19.0,Female,Mobile,872.8741113830825,8.0,False,False
user_0046,2022-02-14,11/20/2022,46.0,Female,Mobile,203.17484456792187,0.0,True,True
user_0047,02/04/2020,2021-02-02,30.0,Female,Desktop,145.85460844144143,1.0,True,False
user_0048,2020-07-24,01/06/2021,21.0,Male,Desktop,159.1894165604465,1.0,False,False
user_0049,10/22/2022,2023-10-14,59.0,Male,Mobile,321.2137132855154,5.0,True,False
user_0050,2022-10-18,06/19/2023,62.0,Male,Mobile,640.0166154396725,6.0,False,False
user_0051,2021-07-19,03/28/2022,27.0,Female,Mobile,652.2838584808395,2.0,False,False
user_0052,12/03/2021,2022-04-14,48.0,Female,Desktop,378.49947171865847,8.0,True,False
user_0053,02/05/2021,,58.0,Female,Mobile,494.30169446803205,,False,False
user_0054,2021-12-30,2022-05-16,25.0,nan,Mobile,276.74027298243305,4.0,False,False
user_0055,2020-06-10,2020-10-15,20.0,Female,Desktop,295.2895425187264,3.0,False,False
user_0056,2020-07-20,2021-02-05,65.0,Female,Desktop,615.973367802309,8.0,False,False
user_0057,2022-09-22,04/22/2023,63.0,Female,Desktop,709.5368122216795,7.0,False,False
user_0058,2020-09-26,2020-12-03,26.0,Male,Desktop,404.63623511397145,,False,False
user_0059,03/26/2022,04/28/2022,,nan,Desktop,827.0030241661607,3.0,False,False
user_0060,2021-03-31,2021-11-25,28.0,Female,Mobile,693.1210697572219,1.0,False,False
user_0061,2022-10-13,2023-02-27,52.0,Male,Mobile,818.3451704511101,8.0,False,True
user_0062,2020-10-22,2021-09-27,54.0,Male,Desktop,439.81238618101634,2.0,False,True
user_0063,2021-12-20,2022-02-21,59.0,Male,Mobile,804.1372491265291,3.0,True,True
user_0064,2020-12-03,,30.0,Female,Tablet,935.908527995155,6.0,False,False
user_0065,2022-05-28,11/14/2022,53.0,Female,Mobile,417.4964933287962,9.0,False,False
user_0066,2022-12-12,04/16/2023,30.0,nan,Mobile,469.16619232638277,7.0,False,False
user_0067,2022-03-02,2022-05-09,29.0,nan,Tablet,310.4562995187202,7.0,False,False
user_0068,2020-08-04,,54.0,Male,Desktop,271.15698076783445,3.0,True,True
user_0069,02/02/2022,,27.0,Male,Mobile,273.48973174674103,6.0,True,False
user_0070,07/06/2020,,26.0,Male,Desktop,337.7067736425415,9.0,True,False
user_0071,2021-01-14,,69.0,Female,Desktop,554.9475957971142,0.0,True,False
user_0072,2021-05-07,2022-03-04,24.0,Male,Mobile,346.16009211572975,5.0,False,False
user_0073,11/30/2022,2023-08-25,19.0,Female,Mobile,548.8325109173736,5.0,False,False
user_0074,01/15/2020,04/18/2020,40.0,Female,Desktop,552.9690302389905,5.0,False,False
user_0075,03/05/2020,2020-04-06,56.0,Male,Desktop,405.9751212251242,1.0,True,False
user_0076,06/04/2021,12/08/2021,57.0,Male,Mobile,487.472579086139,7.0,False,False
user_0077,2021-10-09,2022-04-02,56.0,nan,Desktop,394.41752146273745,4.0,False,False
user_0078,2022-12-22,2023-06-22,38.0,nan,Desktop,437.85204534470955,4.0,False,False
user_0079,2021-08-15,2021-11-25,40.0,Male,Mobile,338.22740510715704,1.0,False,False
user_0080,2021-01-26,07/14/2021,46.0,Female,Desktop,516.8209379565633,,True,False
user_0081,02/22/2021,2022-01-10,31.0,nan,Mobile,379.8908269080334,8.0,False,False
user_0082,10/15/2020,2021-05-30,43.0,Male,Mobile,266.7868248124409,8.0,False,False
user_0083,2021-01-13,2021-12-27,68.0,Male,Desktop,618.6857777697074,5.0,True,False
user_0084,2020-08-18,2020-09-27,22.0,Male,Desktop,625.4582402570927,8.0,True,False
user_0085,2022-10-14,2023-06-26,48.0,Female,Desktop,722.3397071288214,3.0,True,False
user_0086,02/10/2020,2020-05-01,42.0,Male,Mobile,295.1205250791643,0.0,True,False
user_0087,2022-11-17,,48.0,Male,Mobile,403.81453865780264,1.0,False,False
user_0088,2020-05-14,2020-08-14,67.0,Male,Mobile,546.0990810179446,0.0,False,True
user_0089,2020-07-19,04/17/2021,37.0,Female,Mobile,399.592024637548,7.0,True,False
user_0090,2022-02-18,02/12/2023,61.0,nan,Mobile,614.1823967615644,8.0,False,False
user_0091,2022-07-18,,34.0,Female,Mobile,599.5865774967872,9.0,False,False
user_0092,2022-11-22,2023-08-19,62.0,Female,Mobile,595.8590712382132,5.0,True,True
user_0093,12/07/2022,09/24/2023,19.0,Female,Desktop,791.9334466608528,,True,False
user_0094,05/17/2021,2021-08-08,42.0,Male,Mobile,628.8154148916899,5.0,True,False
user_0095,02/10/2021,2021-09-04,30.0,Male,Mobile,530.7782222962853,8.0,False,False
user_0096,2022-03-15,2022-05-03,56.0,nan,Mobile,,2.0,True,True
user_0097,2020-04-08,2020-07-07,45.0,Male,Mobile,,8.0,False,False
user_0098,2021-11-14,2022-06-09,59.0,Male,Mobile,287.1579692319853,1.0,False,False
user_0099,12/26/2021,2022-06-18,23.0,Female,Mobile,146.85796260999575,4.0,False,False
user_0100,2022-08-18,02/23/2023,20.0,Male,Desktop,592.7512255462127,1.0,True,True
user_0101,2021-09-04,2022-06-29,52.0,Male,Mobile,744.7265875126132,6.0,False,False
user_0102,2021-10-04,01/30/2022,35.0,nan,Desktop,433.9770153394527,9.0,False,False
user_0103,2022-10-25,2023-03-01,28.0,Female,Tablet,817.4188318065194,8.0,False,False
user_0104,2021-05-17,2022-05-04,37.0,Male,Desktop,464.69751338370594,6.0,False,False
user_0105,2022-02-05,2022-04-04,22.0,nan,Mobile,109.24560377739823,4.0,False,False
user_0106,02/01/2021,10/14/2021,36.0,Female,Tablet,683.6498507459205,3.0,False,False
user_0107,2022-05-20,2022-06-27,39.0,Female,Mobile,404.142352552371,3.0,False,False
user_0108,03/05/2022,2022-04-28,36.0,Male,Mobile,701.7557355040028,9.0,False,False
user_0109,01/27/2021,10/09/2021,,Male,Desktop,244.494503213672,7.0,True,False
user_0110,07/25/2020,09/30/2020,33.0,Female,Desktop,582.40883242953,9.0,False,False
user_0111,2022-11-04,05/28/2023,41.0,Female,Mobile,339.90778329113755,9.0,False,False
user_0112,2022-06-10,2022-08-15,,Female,Mobile,,9.0,False,False
user_0113,2022-05-13,03/22/2023,21.0,Male,Mobile,653.3213389150712,9.0,True,False
user_0114,01/12/2022,,32.0,Male,Mobile,606.8802002587771,9.0,False,False
user_0115,2021-07-17,2021-09-24,42.0,Female,Mobile,513.8735666060186,0.0,False,False
user_0116,2022-10-17,2023-09-29,61.0,Male,Tablet,224.30817875755542,4.0,True,False
user_0117,2020-04-05,2020-11-06,52.0,Female,Tablet,646.0688361103531,1.0,True,True
user_0118,2021-04-29,07/07/2021,31.0,Male,Desktop,706.28608759912,8.0,False,False
user_0119,08/18/2020,2021-05-11,66.0,Male,Mobile,291.4005951686915,6.0,False,True
user_0120,2022-01-18,2022-09-20,36.0,Female,Desktop,320.7941571388001,9.0,False,False
user_0121,2021-06-24,2022-01-07,55.0,Female,Tablet,714.7114716065823,7.0,True,False
user_0122,11/25/2022,2023-02-21,53.0,Male,Desktop,458.31168748614675,5.0,False,False
user_0123,2021-06-08,2021-12-23,24.0,Male,Mobile,325.9773325188837,8.0,False,False
user_0124,2021-07-31,2021-10-13,47.0,Female,Mobile,554.5108827038546,5.0,False,False
user_0125,2021-11-12,2022-05-30,36.0,Male,Mobile,372.2951224091163,6.0,False,False
user_0126,07/10/2021,2022-01-10,66.0,Female,Mobile,532.2084262811962,6.0,False,False
user_0127,10/09/2022,11/14/2022,42.0,nan,Desktop,417.3586658307304,8.0,False,False
user_0128,10/07/2021,12/20/2021,33.0,Male,Desktop,9055.076874660346,7.0,True,False
user_0129,2022-03-06,05/05/2022,64.0,nan,Mobile,722.0794767714904,0.0,False,True
user_0130,2022-11-17,2023-05-25,57.0,Male,Mobile,6.295063974998641,3.0,False,False
user_0131,07/08/2020,2021-01-11,68.0,Female,Mobile,610.9501508870488,6.0,False,False
user_0132,2021-09-24,2022-01-13,25.0,Male,Mobile,689.0901556532988,7.0,False,False
user_0133,2021-09-19,2022-05-12,35.0,nan,Mobile,375.601171764469,6.0,False,False
user_0134,08/30/2022,2022-10-10,45.0,Male,Desktop,687.5530708726301,2.0,True,False
user_0135,2021-12-10,,33.0,Male,Mobile,308.1952066318352,3.0,True,False
user_0136,2021-10-10,2021-12-24,69.0,nan,Desktop,368.0032908672745,6.0,False,False
user_0137,11/13/2020,2021-08-02,36.0,Female,Mobile,344.96659128179306,7.0,False,False
user_0138,11/14/2021,2022-07-24,,Female,Mobile,690.2584327205169,6.0,False,False
user_0139,2021-10-25,05/05/2022,34.0,Male,Mobile,151.0104626664334,5.0,True,False
user_0140,2021-03-17,06/28/2021,62.0,Female,Desktop,828.0294452051149,8.0,False,False
user_0141,2021-07-17,06/30/2022,,Male,Mobile,439.01228677722213,,True,False
user_0142,2022-08-09,2023-08-08,,Male,Desktop,622.9824308314711,6.0,True,False
user_0143,11/29/2021,2022-10-02,44.0,Female,Mobile,605.7415842727462,7.0,False,False
user_0144,04/22/2020,2021-01-18,27.0,Male,Desktop,530.2463576413038,5.0,False,False
user_0145,2020-01-02,08/10/2020,51.0,nan,Desktop,379.862787704488,0.0,False,True
user_0146,10/03/2021,2022-05-13,53.0,nan,Mobile,748.4745125855709,0.0,True,False
user_0147,08/07/2020,,42.0,Female,Desktop,397.02974685577914,5.0,False,False
user_0148,2022-05-04,,23.0,Female,Mobile,353.7502684558191,1.0,False,True
user_0149,2021-01-19,2021-11-14,41.0,Female,Desktop,675.5420567047066,7.0,False,False
user_0150,2022-12-12,10/22/2023,35.0,Male,Mobile,529.149923907374,0.0,False,False
user_0151,2021-12-30,2022-10-06,40.0,Female,Mobile,771.5643150232402,1.0,False,True
user_0152,09/03/2020,10/09/2020,23.0,Male,Desktop,487.46658170890004,7.0,False,False
user_0153,2022-04-15,,46.0,Male,Desktop,369.8249254608507,5.0,False,False
user_0154,07/21/2020,2020-11-06,42.0,Female,Mobile,554.9486946047797,9.0,False,False
user_0155,2020-05-02,2020-07-28,34.0,Female,Desktop,410.4765687825193,1.0,True,False
user_0156,2021-02-04,,63.0,Female,Mobile,375.6154977388589,1.0,False,False
user_0157,2022-02-05,10/18/2022,41.0,Male,Mobile,666.3776387311748,6.0,True,False
user_0158,2020-10-20,02/25/2021,28.0,Female,Desktop,866.3110134550055,4.0,True,False
user_0159,2020-10-06,2020-12-13,43.0,Male,Mobile,450.7076416163019,4.0,True,False
user_0160,06/02/2022,2023-04-12,68.0,Female,Mobile,305.0517627428139,7.0,False,False
user_0161,2020-07-16,2021-05-29,51.0,Female,Desktop,469.30873002003625,6.0,False,False
user_0162,2022-09-08,,45.0,Female,Mobile,602.9602459791847,8.0,False,False
user_0163,01/21/2022,2022-03-13,20.0,Male,Desktop,551.4959056954941,3.0,False,False
user_0164,2020-05-23,2021-01-02,28.0,Male,Mobile,738.8463388943424,9.0,True,False
user_0165,2021-08-31,2022-05-23,55.0,Male,Mobile,633.01796765514,3.0,False,False
user_0166,07/05/2020,,31.0,Female,Mobile,279.31810637801823,1.0,True,False
user_0167,2021-04-08,2022-03-06,68.0,nan,Desktop,401.33632987184495,2.0,False,True
user_0168,2021-10-21,2022-02-11,43.0,Male,Desktop,,0.0,False,False
user_0169,2022-02-02,2022-11-15,65.0,Female,Mobile,728.9358691260376,0.0,True,False
user_0170,2022-08-12,2022-09-25,38.0,Female,Mobile,101.62254694571982,6.0,True,True
user_0171,2021-02-06,2021-08-17,56.0,Female,Tablet,243.3335338755375,4.0,False,False
user_0172,2020-05-26,,47.0,Female,Mobile,397.6395067989654,2.0,False,False
user_0173,2022-05-13,2022-06-23,25.0,Female,Desktop,612.7834806209634,6.0,False,False
user_0174,05/03/2021,12/26/2021,,Male,Mobile,395.66931725886974,1.0,False,False
user_0175,2022-07-17,2022-10-14,37.0,Male,Desktop,426.9541172571016,2.0,False,False
user_0176,2021-07-04,2021-12-25,65.0,Male,Mobile,430.89442534546,,False,False
user_0177,12/03/2020,,49.0,nan,Desktop,534.5565244716493,7.0,True,False
user_0178,2022-05-21,07/16/2022,39.0,nan,Desktop,255.89769294599964,1.0,True,True
user_0179,2021-10-02,2022-05-18,24.0,Female,Mobile,310.5645903903906,6.0,False,False
user_0180,04/17/2021,2021-11-13,26.0,Male,Mobile,836.1847397591782,8.0,False,False
user_0181,2020-05-30,08/13/2020,62.0,Male,Desktop,580.4798194394023,5.0,True,False
user_0182,2020-09-19,2021-05-28,18.0,Male,Desktop,652.1564343705691,1.0,True,False
user_0183,2020-05-23,03/21/2021,46.0,Male,Mobile,511.60570629104336,1.0,True,False
user_0184,12/11/2020,08/25/2021,25.0,Female,Mobile,471.94395035145203,8.0,True,False
user_0185,09/15/2021,2022-08-29,21.0,nan,Desktop,591.426189219056,9.0,True,False
user_0186,2022-10-13,2023-03-08,52.0,nan,Mobile,645.5227367352265,7.0,False,False
user_0187,2022-05-30,09/08/2022,20.0,Female,Desktop,669.2151349383438,8.0,False,False
user_0188,01/02/2020,2020-08-23,62.0,Male,Mobile,474.68808803613194,3.0,False,False
user_0189,2022-06-15,2023-04-17,57.0,Male,Desktop,691.0753112556642,3.0,False,False
user_0190,09/10/2020,,24.0,Male,Tablet,6.756642234075741,1.0,False,False
user_0191,2021-03-28,07/30/2021,44.0,Female,Tablet,678.4574019450243,9.0,False,False
user_0192,2022-11-26,01/05/2023,18.0,Female,Mobile,414.6188086512396,0.0,False,False
user_0193,2022-10-11,2023-08-25,44.0,Male,Desktop,610.6764892603394,9.0,False,False
user_0194,01/09/2020,10/31/2020,33.0,Male,Mobile,370.1344548608273,3.0,False,False
user_0195,2022-03-26,2022-07-21,55.0,Male,Mobile,234.6610939844445,9.0,False,True
user_0196,07/26/2020,2020-11-08,24.0,Male,Mobile,567.9408062633336,9.0,False,False
user_0197,2021-02-07,2021-08-15,61.0,Female,Mobile,199.69389533576015,7.0,False,False
user_0198,2020-05-31,,40.0,Male,Tablet,420.0645143554586,1.0,False,False
user_0199,02/23/2020,06/23/2020,58.0,Female,Mobile,337.5140617791695,7.0,False,False
user_0200,09/19/2021,2022-05-08,28.0,Female,Desktop,464.9934923413047,0.0,True,False
user_0201,2021-08-09,2022-05-07,59.0,Female,Desktop,659.4418239194545,0.0,False,False
user_0202,2020-04-13,2020-05-14,50.0,Male,Desktop,402.0309429091018,3.0,False,False
user_0203,2020-09-10,05/30/2021,67.0,Male,Mobile,562.9155094825223,6.0,True,True
user_0204,05/24/2021,09/07/2021,53.0,Female,Mobile,647.8692076454176,8.0,False,False
user_0205,2020-04-08,,54.0,Male,Desktop,378.5489898412426,4.0,False,False
user_0206,2020-06-01,2021-01-10,58.0,Male,Mobile,381.4492942561795,1.0,True,False
user_0207,2022-07-02,2022-10-29,34.0,Female,Mobile,773.865780440042,6.0,False,False
user_0208,2022-05-27,11/15/2022,52.0,Female,Mobile,6838.290230295542,1.0,True,False
user_0209,2020-12-03,2021-11-02,65.0,Female,Mobile,601.8277586263749,8.0,False,False
user_0210,2022-04-01,03/13/2023,22.0,Male,Desktop,600.3122184718449,8.0,False,False
user_0211,2022-08-14,2022-09-21,65.0,Female,Mobile,260.4024787844044,2.0,False,False
user_0212,2020-06-09,2021-02-16,49.0,Male,Mobile,347.82482476560097,7.0,False,False
user_0213,2022-03-11,2022-10-30,20.0,Male,Mobile,575.069472708004,3.0,False,False
user_0214,02/01/2021,2021-08-27,69.0,Female,Mobile,86.5370226552713,2.0,False,False
user_0215,2022-03-26,2022-07-17,64.0,Female,Mobile,457.7404765923151,0.0,False,False
user_0216,2021-02-04,2021-11-11,52.0,nan,Mobile,326.94322552144354,4.0,False,False
user_0217,2021-10-01,2022-01-22,69.0,Female,Mobile,722.1012283953307,3.0,False,False
user_0218,11/22/2022,2023-10-31,31.0,nan,Desktop,569.2230906309899,0.0,False,False
user_0219,11/18/2021,2021-12-20,65.0,nan,Mobile,738.2492594781354,9.0,True,False
user_0220,2021-04-04,,48.0,Female,Mobile,492.1750732893294,7.0,False,False
user_0221,08/12/2022,09/24/2022,48.0,Female,Mobile,477.2221614465955,7.0,True,False
user_0222,2021-04-14,,34.0,Female,Mobile,,7.0,False,False
user_0223,11/11/2022,,41.0,nan,Tablet,399.38612008898156,2.0,False,False
user_0224,01/19/2022,03/14/2022,69.0,Female,Mobile,1036.931267811197,5.0,True,False
user_0225,02/07/2020,2020-07-07,40.0,Male,Mobile,661.4339031586444,6.0,True,False
user_0226,08/17/2020,2021-05-11,35.0,Female,Mobile,286.76229081264347,8.0,True,False
user_0227,2021-07-16,2022-03-23,67.0,Male,Tablet,1027.8617738324358,4.0,False,False
user_0228,03/13/2021,10/11/2021,31.0,Male,Mobile,419.0040129995454,8.0,False,False
user_0229,2020-01-27,,67.0,Male,Desktop,564.2304000353712,5.0,False,False
user_0230,2020-08-13,2021-04-10,32.0,Female,Mobile,687.9194743743731,9.0,False,False
user_0231,2022-03-08,2023-02-12,32.0,Female,Tablet,,9.0,True,False
user_0232,2020-10-10,2021-03-19,,Male,Desktop,334.53463967018024,9.0,False,False
user_0233,2022-05-28,,44.0,Male,Mobile,829.632964914138,3.0,False,False
user_0234,2022-08-17,2022-12-17,32.0,Male,Mobile,455.0342673327209,0.0,False,False
user_0235,03/28/2021,2021-11-19,67.0,Female,Mobile,699.7340233521744,0.0,True,False
user_0236,2022-10-16,2023-10-12,53.0,Male,Mobile,409.3063118707309,9.0,False,False
user_0237,2022-03-26,2022-11-23,25.0,Male,Mobile,480.9880789026316,4.0,False,False
user_0238,2021-10-20,12/12/2021,32.0,Male,Mobile,857.0513732153,2.0,False,False
user_0239,2021-06-30,2021-08-02,20.0,Female,Mobile,587.5024484596046,4.0,False,False
user_0240,2022-12-08,2023-01-26,64.0,Male,Mobile,431.0304466138003,4.0,False,False
user_0241,2020-01-17,2020-04-05,30.0,Female,Mobile,363.32730783943043,0.0,False,False
user_0242,2020-06-06,10/09/2020,58.0,Male,Mobile,381.6249215173593,7.0,True,False
user_0243,2021-04-21,2022-01-25,,Female,Mobile,,4.0,False,False
user_0244,12/05/2022,2023-08-19,41.0,Male,Tablet,653.099661727784,4.0,False,False
user_0245,2021-06-01,03/19/2022,57.0,Female,Mobile,270.26467358528174,8.0,True,False
user_0246,04/08/2020,2021-01-05,49.0,Male,Desktop,,7.0,False,False
user_0247,2022-11-26,2023-08-28,49.0,Female,Mobile,486.6367056387989,0.0,False,False
user_0248,2020-10-06,2021-03-15,47.0,nan,Mobile,563.2185539136588,2.0,False,False
user_0249,05/11/2021,2021-07-19,69.0,nan,Mobile,379.285776171726,6.0,False,True
user_0250,10/28/2020,07/09/2021,66.0,Female,Mobile,719.5611223298847,0.0,False,False
user_0251,06/29/2020,2020-08-05,30.0,Female,Desktop,499.73214454279497,0.0,False,False
user_0252,2021-08-29,12/23/2021,,Female,Desktop,574.6873035170819,4.0,True,False
user_0253,2021-11-30,2022-01-12,51.0,Female,Mobile,343.06195517713684,8.0,False,False
user_0254,2022-09-19,2023-08-07,32.0,Male,Tablet,353.13737246588755,5.0,True,False
user_0255,2020-07-09,2020-09-17,61.0,Female,Mobile,1031.50222185338,9.0,True,False
user_0256,2020-09-09,08/20/2021,31.0,Male,Tablet,860.0159904853366,1.0,False,False
user_0257,2022-09-07,2022-10-20,46.0,Male,Tablet,486.06376742341763,8.0,False,False
user_0258,2022-07-16,2022-11-06,51.0,Male,Mobile,806.6007901453879,5.0,False,False
user_0259,2020-05-07,2021-04-27,35.0,Male,Mobile,,4.0,True,False
user_0260,2020-01-18,2020-03-15,24.0,Female,Mobile,374.95779419017214,4.0,False,False
user_0261,07/19/2021,2022-04-03,46.0,Male,Desktop,355.013359719573,2.0,True,False
user_0262,2021-07-23,,48.0,Male,Mobile,633.7353250702635,5.0,False,False
user_0263,2021-11-16,2022-05-28,42.0,Male,Tablet,552.0121276225644,3.0,False,False
user_0264,09/17/2021,2022-08-15,55.0,Female,Desktop,419.5990767322559,9.0,True,False
user_0265,2022-05-03,06/11/2022,31.0,Female,Mobile,644.2453087497476,1.0,False,False
user_0266,08/19/2022,,25.0,Male,Mobile,211.50341488141066,2.0,True,False
user_0267,06/03/2020,10/03/2020,44.0,Male,Desktop,523.0003055704915,8.0,False,False
user_0268,2021-05-04,2022-02-14,19.0,Male,Mobile,252.21526928744882,8.0,False,False
user_0269,02/23/2022,2022-12-13,34.0,nan,Desktop,,5.0,False,False
user_0270,2020-09-02,2020-10-02,54.0,Female,Mobile,358.6470420695187,9.0,False,False
user_0271,2022-11-28,2023-10-07,,Female,Mobile,572.6574552687977,9.0,False,False
user_0272,01/28/2022,,42.0,Male,Mobile,364.9525982230739,8.0,True,False
user_0273,2021-06-21,02/09/2022,47.0,Female,Desktop,256.3782784099236,3.0,True,False
user_0274,07/09/2022,2022-12-05,46.0,Female,Mobile,595.4498405353893,4.0,False,False
user_0275,2021-02-11,08/15/2021,37.0,Male,Desktop,798.5494088882072,9.0,False,False
user_0276,2021-06-08,10/23/2021,38.0,Male,Mobile,627.7700868404024,5.0,True,False
user_0277,04/07/2022,2023-04-05,39.0,Male,Desktop,860.3597449187292,8.0,False,False
user_0278,06/21/2022,,52.0,Female,Mobile,781.8356787205176,4.0,False,True
user_0279,2020-02-05,03/25/2020,54.0,Female,Mobile,402.5143574980129,7.0,False,False
user_0280,2021-11-15,,33.0,Female,Desktop,626.431963872822,0.0,False,False
user_0281,01/20/2020,2020-03-24,67.0,Female,Mobile,481.6738412889686,4.0,False,False
user_0282,2020-11-16,08/17/2021,66.0,Male,Mobile,,9.0,False,False
user_0283,2021-05-26,,60.0,Female,Mobile,481.63768854728585,0.0,True,False
user_0284,2021-02-03,2021-08-30,34.0,Female,Desktop,342.2606981581467,9.0,False,False
user_0285,2021-10-15,,33.0,Male,Tablet,774.6811884700508,5.0,True,False
user_0286,2022-08-29,2023-03-27,,Female,Mobile,563.5591101446739,6.0,True,False
user_0287,2021-04-15,01/20/2022,21.0,Male,Mobile,367.29406573815373,4.0,False,False
user_0288,2022-04-13,,38.0,Male,Desktop,400.25473998523535,0.0,False,False
user_0289,2021-12-27,2022-11-27,56.0,Female,Mobile,366.0158711123032,5.0,True,False
user_0290,05/03/2022,2022-07-10,51.0,Female,Tablet,299.65051345805676,9.0,False,False
user_0291,2020-02-20,2020-09-14,47.0,Female,Mobile,404.49693155128983,4.0,False,False
user_0292,2021-07-28,06/16/2022,23.0,Male,Tablet,574.6042427462413,5.0,True,False
user_0293,2020-05-29,2020-10-31,34.0,Female,Desktop,512.812134037236,9.0,False,False
user_0294,2020-11-09,2021-07-30,56.0,Female,Desktop,412.3566127235682,6.0,False,False
user_0295,2021-07-23,2021-08-29,42.0,Female,Desktop,799.1014937594448,6.0,True,False
user_0296,2020-10-31,2021-04-07,22.0,nan,Mobile,97.87330522407223,1.0,False,False
user_0297,2021-11-12,2022-05-17,22.0,Female,Mobile,561.2271830311421,2.0,False,False
user_0298,2022-04-17,2022-05-21,37.0,Male,Mobile,471.44814903648125,5.0,False,False
user_0299,12/13/2022,2023-07-05,33.0,Female,Desktop,305.9637540407039,2.0,False,False
user_0300,2022-09-29,2023-09-04,68.0,Male,Desktop,572.8908691575435,1.0,True,False
user_0301,2021-03-19,2021-08-09,58.0,Male,Desktop,456.050357527769,3.0,False,False
user_0302,09/04/2021,2021-10-29,54.0,Male,Mobile,749.4146932427788,4.0,True,False
user_0303,2022-09-19,2023-06-07,,nan,Mobile,673.6130484822933,9.0,False,False
user_0304,2020-09-20,2021-09-12,26.0,Male,Mobile,881.2261472747971,8.0,False,False
