tenure,monthly_fee,contract_type,churn
16,62.47727264157894,0,0
45,23.807576620082134,0,0
18,89.25049919902389,1,1
47,43.53811418116075,1,0
53,57.41849903213727,0,0
24,59.608730104237274,0,0
26,37.77823808014554,1,0
25,77.70470497171405,1,0
45,53.989329040316484,0,0
41,46.79791044638999,0,0
29,52.077619435826634,0,0
15,61.463782979135345,1,1
45,50.1619724721455,0,0
1,63.228948655748596,1,1
25,24.726917915483913,0,0
7,38.78045015260265,0,0
9,17.91799527786027,0,1
24,79.95512235264418,0,0
1,79.75988191527401,1,1
44,59.39924101299477,1,0
8,34.81072893630453,0,0
24,85.84817408327486,1,0
11,40.93378282802432,0,1
51,46.80189309642254,0,0
17,52.39300108596083,0,1
8,56.77273913028454,0,0
35,59.65703902556477,1,0
35,60.25942456211676,0,0
33,47.83213871969143,0,0
59,60.021514276350686,1,0
5,47.16188510756484,0,0
42,58.689551553083305,0,0
39,57.459376667461626,0,0
58,61.442709361971815,1,0
41,59.56950048531448,0,0
28,43.36351437633054,1,0
7,56.88065257338519,0,0
9,59.80099606872329,0,1
8,30.633134165769413,1,0
12,45.88933464153456,0,0
34,59.121708368275,0,0
33,75.63938742094433,1,1
48,62.37350279193101,1,0
55,76.58566980466394,1,0
23,44.024399147345775,1,0
24,53.75285738371465,1,0
37,62.086029492891775,0,0
35,15.104724297503346,1,0
44,72.6620482717179,0,0
40,22.086351787180302,0,0
22,64.95410102417604,0,0
27,60.30247685813969,1,0
35,14.906104962276707,1,0
1,15.664081146005039,0,0
35,71.48722876178759,1,0
37,68.22083089529822,1,1
47,36.78704533267609,1,0
14,36.771816574339034,1,0
3,57.68907458564331,0,1
1,49.80883774267448,0,0
5,65.81592823773671,1,1
26,57.1937138664963,0,0
55,73.74546190934802,1,0
14,64.5511666687059,1,0
39,60.81159573710866,0,0
27,44.71812919544489,0,0
9,43.62018148757233,0,0
15,49.22361522942049,1,0
15,77.61414604905812,0,1
26,43.905879059153236,1,1
42,53.90793480611024,0,0
13,16.32795638439036,0,0
51,60.13713095066121,1,0
32,83.85797421639708,1,0
39,35.99542836105613,1,0
49,97.61663205690138,1,0
52,52.7336090698498,1,0
32,11.40603137923484,1,0
4,44.216926400481334,1,0
30,69.95657844903624,1,0
37,79.98975809374707,0,1
23,60.771478223775254,1,0
39,73.51391631318452,1,0
45,32.3332168776147,0,0
15,39.79607619209138,1,0
43,24.808110769973144,0,0
29,40.92405386012145,0,0
36,61.428784796535,1,0
13,53.18983643574529,0,1
32,63.01773554994773,1,0
7,35.95228973754895,0,1
59,36.867124597822,0,0
51,53.069153142873695,0,0
22,40.96028292042027,1,0
28,69.52773752240142,1,0
2,40.588716734337844,0,0
42,42.569161356031294,0,0
45,56.282591208027306,1,0
57,44.160677124087606,1,0
53,31.4758340969388,0,0
6,33.509662627518665,0,0
28,58.06648937610433,1,0
28,29.619327281569095,1,0
44,70.95746641323217,1,1
44,39.64401073547375,1,0
20,59.24323725452091,1,1
30,40.54381063955549,0,0
11,36.27137930005452,1,0
58,53.691555234352734,0,0
55,65.7767520052385,1,0
28,46.28948373709843,0,0
25,49.0178396936381,1,0
39,62.11126041624202,1,0
33,62.607908753773344,0,0
1,49.42262419970388,0,1
57,43.347801612720666,1,0
27,51.239839391675474,1,1
57,47.13632762917486,1,0
52,54.69461227725278,1,0
13,32.08594359731371,1,0
41,54.157723690381204,0,0
3,39.22544875743877,0,0
39,63.58831417235754,1,0
6,39.91298225944227,0,0
8,40.173353492136016,0,1
27,56.68098236617611,0,0
9,50.213178332242954,1,1
37,84.14977439598256,0,1
33,25.560460841686215,1,0
51,51.647794204321166,0,0
42,66.94474227458556,1,0
44,41.325291156090486,0,0
24,36.341632328901795,1,0
15,36.93703028530507,1,0
59,25.82058230524873,0,0
54,70.24556940966042,1,0
32,45.05573987290388,1,0
32,43.27959290299654,1,0
24,18.138528885047396,1,0
41,28.49437141307173,1,0
52,71.98084633278641,1,0
49,54.54658499150868,1,0
49,67.49751244887659,1,0
58,65.59988659744745,0,0
52,34.99069579140589,0,0
12,86.44771592980953,1,0
39,79.24598893401844,1,0
2,41.543503368154475,0,0
3,-3.5230794903982314,0,0
49,44.65201865083885,0,0
37,53.574443931821726,1,0
49,41.484214478364635,0,0
56,46.677168549729245,1,0
17,37.57012945493308,1,0
59,63.82452077530771,0,0
49,50.95449860552833,1,0
2,64.27271094414431,1,1
2,68.33305019311905,1,1
28,17.385146538700297,1,0
54,38.44216683748846,0,0
23,40.63956059539184,0,0
37,88.57058539533175,1,0
32,52.23508050350486,1,0
33,62.188408945445964,0,0
1,21.789623460882332,1,0
19,52.14823178746282,0,0
2,64.67439473174386,1,1
53,62.92947627590234,1,0
44,59.35099158374528,0,0
26,50.19500759742689,0,0
32,50.92352930938176,0,0
6,24.60100737935316,0,0
32,36.49200672219285,1,0
55,53.46415934582245,0,0
4,39.26036289610692,1,0
55,60.33257370549177,0,0
11,57.00173825397294,0,0
56,70.5105538208299,1,0
59,64.37380739228857,0,0
17,53.40892113701852,0,0
38,61.21970651092874,0,0
24,65.07653243449484,0,0
5,42.38844071138026,1,0
52,45.06003502520297,1,0
34,48.547609439098835,0,0
6,42.86704183753476,0,1
22,65.23530417595227,0,0
11,40.59034187484043,1,0
48,68.77477207099736,1,0
16,44.49540201679426,1,0
33,57.08594964259037,1,0
9,52.49622723144333,0,1
59,35.360302875624996,0,0
6,49.701654057638144,0,0
16,55.00465297175896,1,1
29,49.03560969334253,0,0
3,29.859401622405738,1,0
20,75.52143865289257,1,0
59,51.31549224292604,0,0
36,38.08546137254717,0,0
19,74.31152035200911,0,1
26,59.26084714580488,1,0
3,31.99745005397586,1,0
19,34.33257880400182,0,0
20,46.66407920168236,0,0
32,54.45960468274734,1,0
7,59.34199747195883,0,1
52,64.25267719292852,1,0
41,58.09358609600214,1,0
33,70.20118967961494,0,0
40,51.901897395207044,0,0
39,38.605409292826664,0,0
18,49.9497369551154,0,0
40,48.96529009481312,1,0
1,11.326768555062621,1,0
11,41.579497113565125,1,1
28,54.71305599425676,0,0
57,43.636766521823205,1,0
25,40.306859572655014,0,0
50,63.67064293706846,0,0
23,36.251812628368405,0,0
31,60.67433975706234,0,0
30,30.00883293817573,0,0
42,91.41142903589275,0,0
35,46.76471709648114,1,0
7,45.151020660559155,0,1
16,67.14598854334878,1,0
26,43.719427387903266,1,0
48,71.823917124885,0,0
57,55.5739074572979,0,1
52,48.224031491806564,0,0
49,46.62491144944437,1,0
2,68.11388255645393,0,1
1,53.45730821905255,1,0
48,56.48463096786155,0,0
12,58.115028089054434,0,0
5,51.994042778340365,1,1
37,57.79808339524975,1,0
32,48.22514865978514,0,0
59,49.25287052260136,1,0
55,33.21327607959937,1,0
9,54.46640376377596,1,0
41,24.206884899316695,1,0
35,54.2533710591637,1,0
19,45.79075975752778,0,0
48,55.618776641764676,0,0
16,34.26757498877486,1,0
3,18.209639479420368,0,0
20,44.73702039539691,0,0
24,34.31130996714353,1,0
54,23.291649751842762,0,0
56,61.51974904541855,1,0
33,74.01857340713062,1,1
24,38.04572846338175,0,0
52,48.8634375916782,1,0
11,45.383215749802815,1,1
49,40.116523670356955,1,0
8,59.956058208320314,1,1
36,65.15212190642927,1,0
38,36.97089216101594,0,0
40,50.671503006423556,0,0
20,69.26799550900841,1,0
35,60.33554304822458,1,0
48,62.56546157600732,0,0
25,70.51977961163621,1,1
35,70.32267758559874,0,0
25,65.42963945454599,1,0
29,52.174061221717714,1,0
18,44.26275473812862,1,0
46,51.55216647969778,1,0
18,41.98389970964947,1,0
2,20.712696904839763,1,0
54,45.8075140129994,1,0
35,55.3628936575583,0,0
16,41.190958733507316,0,0
41,47.10830319142088,0,0
36,47.68944926049902,1,0
33,70.35285161328332,1,0
4,44.608440889626465,1,1
33,70.3495007327518,1,1
14,9.312642622280393,1,0
21,70.21783671993555,1,0
48,69.46109172293936,1,0
20,63.53382010083787,0,0
56,19.821229951943426,1,0
8,65.28330492833722,0,0
7,49.24821236487124,0,0
3,12.059938401130097,1,0
17,69.47266561752045,1,0
33,71.66259617823452,0,0
48,21.43231892202243,0,0
12,52.6313161295017,1,0
59,70.82886682166274,1,0
51,68.4524197018572,0,0
22,62.54091576739285,1,0
55,10.29120680153737,1,0
22,60.94314149953721,1,0
46,46.72844152439086,0,0
30,64.93786293077741,0,0
38,53.84242187650737,0,0
38,49.70177584566702,1,0
45,59.61355774113854,1,0
51,47.42129943392363,0,0
54,49.63584080162087,0,0
8,41.671640013068576,0,0
27,25.918865132231563,1,0
27,58.51780210656907,0,0
34,37.90954520494145,0,0
21,46.98812200938899,1,0
30,54.304609376809,1,0
33,18.721735346518418,1,0
28,22.07976644484765,0,0
47,45.50392135086196,1,0
33,56.818452234494835,1,1
5,61.160574059737414,0,1
48,26.130282561861392,1,0
19,59.549472266192225,0,0
4,46.323955725254955,0,0
35,36.752641323552844,1,0
49,40.27172215910944,1,1
17,62.0278599806025,1,0
44,54.11008677628357,1,0
28,50.754597841329804,1,0
30,53.6524360821185,1,0
29,63.9214666492429,0,0
46,48.54350648895015,0,0
53,50.81478329681355,1,0
6,67.07256110206708,0,1
35,45.02620063605262,1,0
41,59.27210892921022,0,0
37,42.444432789902876,0,0
24,43.76198987882323,0,0
29,48.43925364800545,1,0
49,57.72909279480148,0,0
46,67.91272943826603,1,0
53,51.44817895308163,0,0
31,27.502446330146835,0,0
35,59.47169440300907,0,0
33,86.80763261218564,0,1
52,51.630032466010256,0,0
21,24.36848541230631,1,0
32,52.54479334206277,1,0
23,49.95481095224241,0,0
33,48.693367349564156,0,0
3,64.18114849965698,0,1
18,70.67412179503586,0,0
25,60.25378617801624,1,1
42,48.004128729933974,0,0
31,66.88518176554444,1,0
54,27.59255538178639,0,0
58,39.259158188990085,1,0
3,40.93058332097405,0,0
40,49.535740281020985,0,0
46,57.60101993730257,1,0
24,46.989305774940746,0,1
50,36.40946308246588,0,0
32,64.62275427044196,0,0
47,46.46814916692959,1,0
22,51.53193381306551,0,0
23,58.266016182138614,0,0
2,50.5831641188442,1,0
27,50.649075421164355,1,0
42,65.45710130653745,1,0
2,52.270542118555646,0,1
26,62.94195478685734,0,0
17,58.17001166477584,0,1
40,80.25331316280375,1,0
33,56.14120126803695,0,0
9,59.569599052261594,0,1
43,66.52485070994551,1,0
54,50.954266399252546,1,0
48,40.432203549058386,1,0
39,42.88781628314815,1,0
29,43.03239611746268,1,0
42,35.74503547704923,0,0
55,54.76707753802826,1,0
26,40.55725177926374,0,0
35,52.9227923180277,0,0
50,47.61988334434046,1,0
25,49.37567760061228,1,0
24,58.34084971743284,1,1
13,41.871513134171785,0,0
58,59.5833656890516,1,0
7,73.50961799958428,1,1
57,55.14663624427638,1,0
36,38.26856472091297,1,0
45,40.77472982990305,1,0
20,46.27605648822327,0,0
1,41.076645543956516,0,0
8,35.13229535584925,0,0
46,52.31610915442538,1,0
16,46.682040024113014,1,1
14,52.84581325337087,1,0
12,67.79581118322932,0,1
51,46.45470749113461,1,0
23,32.218699929795335,1,0
15,44.01661261619673,1,0
28,61.55637825674964,0,0
34,60.15155406075432,1,0
2,57.779594714203505,0,1
32,40.62939915256845,1,0
23,61.27853927049048,0,0
22,64.653486170556,0,0
51,39.56867555165036,0,0
25,49.376448536862135,1,0
58,80.30602945523168,1,0
22,38.90188585304919,0,0
58,24.423699961344127,0,0
58,70.74356651697198,1,0
22,67.0490715755684,1,1
49,43.145490146338624,0,0
52,48.3051232719787,1,0
42,31.62597424716572,1,0
6,51.334284089145534,1,0
15,67.48870573057101,1,0
54,41.86092737362583,0,0
43,63.15652968179439,1,0
37,56.95585786085648,1,0
33,58.66725336321709,0,0
8,42.735362291204474,0,0
53,44.68063725599758,1,1
44,22.298413482928975,1,0
44,41.49995881234842,1,0
5,67.45228187046888,1,1
39,36.0600170884659,0,0
4,38.29547519214643,0,0
6,59.602847355606855,0,0
45,56.0415243798964,1,0
32,60.34794874694451,1,0
52,32.55169189864394,1,0
30,88.4608692395052,1,0
47,31.763699387491243,0,0
35,52.313709706011025,0,1
55,47.6201675619712,1,0
40,32.200377239524286,0,0
52,44.44685865780125,1,0
16,50.34961401328805,1,1
13,40.25040182204795,0,1
50,64.05835432302274,1,0
42,47.57561381806293,1,1
30,29.8808799347257,0,0
19,28.608117009960544,1,0
17,59.09247635917184,1,1
56,27.698438259494957,0,0
19,54.74639109573626,1,1
28,56.66982778500439,0,0
58,35.069669541139746,1,0
55,63.361071256623354,0,0
26,24.233095643575517,0,0
37,54.446884009978376,0,0
26,49.387130996059874,1,0
53,48.21503036403659,0,0
23,32.33155035529141,0,0
9,35.94466993400111,0,0
12,74.28203037530896,0,0
53,68.2273251330763,0,0
1,61.13126882785698,1,0
58,64.09772155294532,1,0
58,62.69020317006903,1,0
1,45.14965681570687,1,1
47,50.71405327721527,1,0
34,27.912374329384868,1,0
32,48.65456559788711,1,0
54,67.7512137430878,0,0
48,40.08939127614297,1,0
25,65.3471180703084,0,0
40,51.37378608040645,0,0
45,29.219422014954016,1,0
53,33.390207299805326,0,0
1,63.78954304561633,0,1
16,58.28786127887577,0,0
39,51.52646109481438,0,0
5,45.889522786280814,1,0
22,53.15851966442878,1,0
29,63.20444373879874,1,0
55,72.13779920730927,1,0
3,72.85526299160907,1,0
12,55.57939851137747,1,1
26,47.42102464453219,1,0
16,52.19372011728284,1,1
51,57.831805358826195,1,0
37,57.77100415767637,1,0
22,69.61979955710157,0,0
57,81.73633582874982,1,0
29,46.9211805557887,0,0
14,82.33827363236693,0,0
28,67.5835887013759,0,0
5,48.48765514722188,0,0
47,72.4784725829762,1,0
49,75.28472452128747,0,0
30,43.095568337092296,1,0
46,75.98322878728472,1,0
52,66.12624231553946,0,0
5,85.52838691968788,1,1
12,43.63942127000752,0,0
16,44.698598843960056,0,0
26,19.6000680538499,1,0
26,58.567908808519434,1,0
48,55.62876883428078,0,0
21,41.555094926965,1,0
39,48.77223902767913,1,0
36,30.33168484737327,1,0
33,67.9766742924753,0,0
30,42.65450788207535,0,0
37,96.41073523431427,1,0
23,47.36598048933451,1,1
58,38.60571738427535,1,0
10,43.81530321897707,1,0
54,28.82058535183623,1,0
5,57.23407836054413,0,0
36,43.70150450331317,1,0
34,66.96879185596606,0,1
52,45.878787572383736,1,0
31,70.7666316752847,0,0
10,61.36183623975562,1,1
58,50.42895165077516,0,0
19,73.70348881026231,1,0
58,64.28440191555813,0,0
32,94.19319239994837,0,0
1,43.858171325326936,0,1
56,51.14924158187691,0,0
5,73.53063516516394,0,1
45,26.846932822473313,0,0
4,69.75415344848844,1,1
16,56.58954136522206,0,0
24,36.67683866829128,1,0
16,29.554405121733176,1,0
55,39.91265790304574,1,0
2,15.727706415116423,1,0
49,42.656908344627446,1,0
28,59.33834500013872,0,0
32,42.85549038546758,0,0
27,70.82469052150712,0,0
20,74.89921404087931,1,0
24,69.13466723938662,0,1
12,53.45961365396548,0,0
50,15.129810912702965,0,0
35,39.44453761951091,0,0
33,47.8694220983842,0,0
33,36.59198525742784,1,0
51,47.90741786770143,0,0
43,74.1510120304007,1,0
37,25.313352057270226,1,0
12,77.1753808417854,1,1
3,63.270896326312055,1,1
1,54.02325212416543,1,1
33,39.295751663888545,0,0
40,36.890744817628615,0,0
10,25.606734281168904,0,0
43,75.7514822047158,1,0
44,73.06417340111062,0,0
29,28.905730571250768,0,0
13,41.71058007640698,1,0
12,56.497171538478625,1,0
31,45.50736292741688,1,0
46,21.219878644522733,1,0
2,40.133408591664676,0,0
51,79.26551447030027,1,0
50,41.15032114378334,1,0
35,47.547989949466896,0,0
23,32.822338639469294,0,0
17,58.81644477925622,1,1
26,51.72727698536875,0,0
8,38.86970387664532,1,1
29,30.430169062888627,1,0
26,71.06815061016314,0,1
10,25.916848900383794,0,0
26,57.557235433843324,1,0
34,17.691811329326406,1,0
51,60.608175245185734,1,0
41,64.55448330890091,0,0
7,66.4217556745987,1,1
4,47.58187297145198,1,0
58,73.76005408345544,1,0
53,84.61687542494101,1,0
50,45.175652959310554,1,0
45,43.23492454805108,0,0
11,52.23765890517404,1,1
29,42.834797811586895,1,1
56,40.64194705984819,1,0
36,41.94892189637736,1,0
25,75.73634012009367,0,1
21,61.57822992553148,0,0
57,42.78580809112864,0,0
36,13.173124614165715,1,0
10,26.83303259590299,1,0
37,57.55143623902816,0,0
9,18.176660879167738,0,0
24,54.39490291177933,0,0
35,34.016544127024616,1,0
49,51.3770866187101,1,0
35,50.957844520012145,0,1
48,51.80884900836066,0,0
36,44.08367229382219,0,0
18,43.590715615884015,1,0
49,39.188143715953416,1,0
39,57.25838475862835,1,0
32,62.07789012171422,0,0
24,31.715412161958106,0,0
23,49.225572915615956,1,0
32,52.94873110231607,0,0
37,52.75656701934563,1,0
12,52.50154429394777,0,1
49,43.96947784482163,0,0
55,54.18545638193809,0,0
13,59.2704306647543,0,0
23,52.11554983733846,1,0
25,57.58909754800586,0,0
35,64.85530116556261,1,0
41,22.235894631570982,1,0
30,64.15195762798051,1,0
17,55.13641647831912,0,0
49,33.3256200839191,1,0
20,62.037063234795326,1,1
48,44.025186409640575,1,0
25,46.070503455221704,0,0
22,42.38480326301507,0,0
13,54.53598266357337,1,1
59,38.2197028623192,0,0
19,63.52211944921679,1,1
49,47.91706119207993,1,0
36,44.53696274768094,0,0
12,61.29313516420955,1,1
41,45.20664856521379,0,0
19,64.22265238043451,0,0
12,64.69389426261299,1,1
9,29.977942426715344,0,0
7,66.63890303334387,0,0
28,28.069460427471718,1,1
14,67.57370790323766,1,0
31,80.42535788345359,0,0
52,63.12251657403697,0,0
19,17.645290329504903,1,0
58,65.95348579079028,0,0
47,83.69193448904018,0,0
16,45.45452538502956,0,0
53,49.47945019955165,0,0
5,32.17269917110352,0,0
35,54.68119128229504,0,0
12,69.03765773814693,0,0
25,60.466056922241805,1,0
52,97.12950465931698,1,0
59,50.49540564448696,1,0
21,25.539899488771034,1,0
36,52.564564573523285,1,0
53,13.753223521812657,0,0
23,42.003441127032296,0,0
16,74.36573087900318,0,1
57,54.87700472947657,0,0
39,52.69125219246903,1,0
45,77.31170565073035,0,0
53,45.94100162504945,0,0
42,68.92730619401163,1,0
58,51.93960462749511,0,0
39,55.700711951885395,0,0
14,31.740427162054807,1,0
31,42.76929807757675,0,0
58,29.037226507341895,0,0
5,48.571323826619825,0,0
35,55.85603515874401,0,0
23,33.34942842362822,0,0
29,80.73768384027235,1,0
43,54.17159028637941,1,0
11,50.866933783778286,1,0
18,61.54486627018438,1,0
47,37.56607878701117,1,0
12,52.4521621875118,1,1
9,39.247006694636134,0,0
10,73.38019865133474,1,0
58,34.12040975904378,1,0
44,50.9474818896076,0,0
17,54.939736777276636,0,0
38,55.92238616611552,1,0
7,41.28147240375752,0,0
46,36.56735896782354,1,0
13,41.498072404308516,0,0
40,57.92488151315423,1,0
42,47.842313436320545,0,0
9,61.94313212678782,0,1
50,57.1550557909261,1,0
27,15.846309528505884,1,0
58,53.71246695255817,1,0
2,83.75682151724405,1,1
5,69.87903576557497,1,1
29,56.330197410604534,0,0
37,34.10911804295084,1,0
38,57.16330574188469,1,0
19,61.096249098173885,0,0
8,46.193799787586244,0,1
48,54.75113088206656,1,0
45,72.6449368759406,0,0
1,37.14088370387411,0,0
22,34.1255059256131,1,0
52,60.39048988991319,0,1
17,56.863139542971204,0,0
7,65.43257443119218,1,1
25,58.546907178556545,1,0
45,41.483674052387094,0,0
4,56.48288977198107,0,0
36,32.868101850557395,1,0
6,46.24521932400509,0,1
31,57.541988464496065,0,0
19,44.59228674914165,0,1
44,87.0207827334474,1,0
54,21.617236267644998,0,0
39,41.787644645017835,0,0
27,35.933302491951345,1,0
10,39.494767888130696,0,1
26,40.35502664778682,0,0
19,30.1036896971151,1,0
39,61.29053222858941,1,0
3,41.79357053919348,1,0
45,52.45360003382982,1,0
13,43.477613571346325,0,0
50,39.63679381570685,0,0
28,75.08418854130274,1,1
58,63.84398273314112,1,0
20,21.97699400067283,0,0
28,20.387938274961698,1,0
8,65.6391325345473,0,1
41,42.20219912676869,1,0
39,25.26376499098666,0,0
1,65.68602698810511,1,1
3,52.53686075148636,1,1
13,53.77356627248479,0,0
28,62.143089080088615,1,0
57,30.350342625764096,0,0
49,25.52748767923753,0,0
25,73.71431442354803,0,1
56,28.442498588865615,0,0
33,31.66643304386654,0,0
38,34.66346930681351,1,0
53,81.19918885535783,1,0
6,57.400749506172836,0,0
58,64.4811196165307,1,0
44,52.94251318368093,0,0
45,40.971691831981495,1,0
32,59.46936924890252,1,0
45,26.650760438047946,1,0
47,33.57074821855258,1,0
21,60.994627688922215,0,0
16,29.6411715375983,0,0
54,47.1637779625719,1,0
21,47.84731483466882,1,0
11,42.07006994994257,0,0
37,20.733222877267146,1,0
36,40.56606663216961,0,0
35,37.625474346012716,0,0
19,52.42159794931548,0,0
20,51.65735808049203,1,0
57,55.66942189905311,0,0
18,39.860205905384035,1,0
47,57.841669256988375,0,0
41,26.659899008394753,1,0
49,22.671429010214688,1,0
14,14.966409137500577,1,0
15,42.51054140642004,0,0
31,38.70052663492164,0,0
1,61.839734177819,1,1
53,40.27006119426695,1,0
54,54.10064521916401,1,0
54,62.199448648746156,0,0
3,39.70521386526326,0,0
16,54.470783151607634,0,0
23,65.02891323432792,0,0
57,31.42755837791649,1,0
11,50.37278507366966,1,1
12,39.76948425201029,0,0
10,32.38265176260292,0,1
32,26.953223892646566,1,0
16,32.1402714173195,0,0
8,50.90043508628018,0,0
38,25.8373331665738,0,0
12,41.739094638670444,0,0
24,62.197916102793464,0,1
28,56.735164451284035,0,0
53,42.042385655927646,1,0
8,75.34535620038085,0,0
58,78.39554620867492,0,0
28,50.391836473095886,1,0
36,12.971856261735375,1,0
26,63.296722955243894,1,0
8,15.59035489949622,0,0
58,72.14219166080099,1,0
50,66.25377351113448,0,0
28,76.61318756207031,0,0
28,53.9039833755159,0,0
37,44.57921349227243,1,0
41,43.24848299464664,1,0
36,41.80609743453654,1,0
27,64.71602980512054,1,1
54,60.684072342588166,1,0
17,51.80338450151319,0,0
9,39.167280381095416,0,0
33,89.4381894695041,0,0
53,63.68561920944305,0,0
20,26.034321203398868,1,0
13,42.25615976094309,1,0
28,63.97664146113058,0,0
48,38.00691618150974,1,0
29,55.27321938238833,1,0
13,64.26194450504222,0,0
46,-0.8264212398458994,0,0
35,48.37943450316124,1,0
6,48.96813730347683,1,0
18,43.81891316474316,0,0
51,54.52542702419061,0,0
5,59.862794112438124,0,0
47,52.130764164869134,1,0
25,44.39258908925852,0,0
2,59.48931949676405,0,1
10,50.73580113911535,1,1
56,46.539493802067824,1,0
30,30.31580921991621,1,0
50,26.560178221008826,1,0
59,30.031553109288943,1,0
45,54.17493591830322,0,0
5,48.81381878590472,0,0
55,27.79573852688805,1,0
56,59.688767386907166,1,0
33,70.61464269768643,1,0
54,41.02259574925496,1,0
1,23.88527213947439,1,0
18,39.36310422647131,0,0
32,62.81690940192041,0,1
47,58.22794787802161,0,0
49,36.16350970982782,0,0
11,72.81758206647112,1,0
21,70.22420098889597,0,0
26,39.00490905085039,1,0
25,38.8506499555255,1,0
22,41.10758093930766,1,0
59,42.39000836917181,0,0
27,64.25807011892665,1,0
49,56.37993590714891,0,0
13,63.156181540258814,0,0
33,60.1034771478005,1,1
34,75.71790602290598,1,0
41,34.10921684286289,1,0
35,55.70537795575874,0,0
1,17.392681156479533,1,0
21,30.245666388547125,0,1
48,48.877199210977295,1,0
55,56.27309919131804,1,0
6,48.47276386955646,0,1
28,41.49211371780983,0,0
17,44.158731837604435,0,0
5,70.54161464636157,0,0
31,44.23951733179789,0,0
5,76.23862433065293,0,0
38,61.910256103117,1,0
3,56.86306019222346,1,0
53,32.096046345185066,0,0
23,64.02857242099441,1,1
37,42.59344133377251,0,0
53,32.0834036299145,1,0
37,57.69265419619066,1,0
10,29.180809091501906,0,0
10,38.56637806805627,0,0
19,49.84826132796633,0,0
17,83.2763213617209,1,1
21,39.69626366311269,0,0
14,43.12675221049137,1,0
9,60.98517581632468,0,0
46,31.425564674359308,1,0
1,56.64209571531373,1,1
51,68.08890211424881,0,0
45,45.39357672933348,1,0
13,65.39231422095298,1,0
4,54.37174884817709,0,0
1,39.03977054294329,1,0
49,47.032929711552406,0,0
40,44.30363990029637,0,0
32,48.68542613275284,0,0
34,52.29076848829743,0,0
28,58.822999024577854,1,0
31,57.63002374380704,1,0
8,13.524296431067782,1,0
39,48.540377168419596,0,0
26,27.35867129889856,1,0
58,45.86409121299011,1,0
34,48.1431561828362,0,0
54,64.64222537127064,0,0
54,49.548267993498506,1,0
3,53.8882702751489,0,0
59,61.89584570986143,0,0
50,68.4162838972895,0,0
12,48.15479114964634,0,1
1,51.41269162520613,1,0
54,50.15034953363381,0,0
44,41.86101553353386,0,0
5,38.463271648364156,0,0
30,15.921711253610972,0,0
30,33.850085982135056,0,0
59,23.320537501852947,0,0
57,68.82797726679878,0,0
